| Name                         | Type   | Description                                                                                    |
| ---------------------------- | ------ | ---------------------------------------------------------------------------------------------- |
| `update_rate`                | double | timer's update rate                                                                            |
| `activate_by_scenario`       | bool   | if true, activate by scenario = parking. Otherwise, activate if vehicle is inside parking lot. |
| `use_objects`                | bool   | whether using `~input/objects` or not                                                          |
| `use_points`                 | bool   | whether using `~input/points_no_ground` or not                                                 |
| `use_wayarea`                | bool   | whether using `wayarea` from `~input/vector_map` or not                                        |
| `use_parkinglot`             | bool   | whether using `parkinglot` from `~input/vector_map` or not                                     |
| `costmap_frame`              | string | created costmap's coordinate                                                                   |
| `vehicle_frame`              | string | vehicle's coordinate                                                                           |
| `map_frame`                  | string | map's coordinate                                                                               |
| `grid_min_value`             | double | minimum cost for gridmap                                                                       |
| `grid_max_value`             | double | maximum cost for gridmap                                                                       |
| `grid_resolution`            | double | resolution for gridmap                                                                         |
| `grid_length_x`              | int    | size of gridmap for x direction                                                                |
| `grid_length_y`              | int    | size of gridmap for y direction                                                                |
| `grid_position_x`            | int    | offset from coordinate in x direction                                                          |
| `grid_position_y`            | int    | offset from coordinate in y direction                                                          |
| `maximum_lidar_height_thres` | double | maximum height threshold for pointcloud data                                                   |
| `minimum_lidar_height_thres` | double | minimum height threshold for pointcloud data                                                   |
| `expand_rectangle_size`      | double | expand object's rectangle with this value                                                      |
| `size_of_expansion_kernel`   | int    | kernel size for blurring effect on object's costmap                                            |
