| Parameter                 | Type   | Description                                        |
| ------------------------- | ------ | -------------------------------------------------- |
| `time_limit`              | double | time limit of planning                             |
| `maximum_turning_ratio`   | double | max ratio of actual turning range to use           |
| `turning_steps`           | double | number of turning steps within turning range       |
| `theta_size`              | double | the number of angle's discretization               |
| `lateral_goal_range`      | double | goal range of lateral position                     |
| `longitudinal_goal_range` | double | goal range of longitudinal position                |
| `angle_goal_range`        | double | goal range of angle                                |
| `curve_weight`            | double | additional cost factor for curve actions           |
| `reverse_weight`          | double | additional cost factor for reverse actions         |
| `direction_change_weight` | double | additional cost factor for switching direction     |
| `obstacle_threshold`      | double | threshold for regarding a certain grid as obstacle |
