- For node parameter

| Name                | Type   | Description                                                                                           |
| ------------------- | ------ | ----------------------------------------------------------------------------------------------------- |
| is_amplitude_filter | bool   | if this parameter is true, apply amplitude filter (publish amplitude_min < amplitude < amplitude_max) |
| amplitude_min       | double | [dBm^2]                                                                                               |
| amplitude_max       | double | [dBm^2]                                                                                               |
| is_range_filter     | bool   | if this parameter is true, apply range filter (publish range_min < range < range_max)                 |
| range_min           | double | [m]                                                                                                   |
| range_max           | double | [m]                                                                                                   |
| is_azimuth_filter   | bool   | if this parameter is true, apply angle filter (publish azimuth_min < range < azimuth_max)             |
| azimuth_min         | double | [rad]                                                                                                 |
| azimuth_max         | double | [rad]                                                                                                 |
| is_z_filter         | bool   | if this parameter is true, apply z position filter (publish z_min < z < z_max)                        |
| z_min               | double | [m]                                                                                                   |
| z_max               | double | [m]                                                                                                   |
