Module,Text
appender,Constructor Summary Constructors Constructor Description Builder()
appender,Nested Class Summary Nested Classes Modifier and Type Class Description static class AbstractAppender.Builder<B extends AbstractAppender.Builder<B>> Subclasses can extend this abstract Builder. Nested classes/interfaces inherited from interfaceorg.apache.logging.log4j.core.LifeCycle LifeCycle.State
appender,"Constructor Summary Constructors Modifier Constructor Description protected AbstractAppender(Stringname, Filterfilter, Layout<? extends Serializable>layout) Deprecated. Use AbstractAppender(String, Filter, Layout, boolean, Property[]). protected AbstractAppender(Stringname, Filterfilter, Layout<? extends Serializable>layout, booleanignoreExceptions) Deprecated. Use AbstractAppender(String, Filter, Layout, boolean, Property[]) protected AbstractAppender(Stringname, Filterfilter, Layout<? extends Serializable>layout, booleanignoreExceptions, Property[]properties) Constructor."
appender,Constructor Summary Constructors Constructor Description Builder()
appender,Nested Class Summary Nested Classes Modifier and Type Class Description static class AbstractFileAppender.Builder<B extends AbstractFileAppender.Builder<B>> Builds FileAppender instances. Nested classes/interfaces inherited from interfaceorg.apache.logging.log4j.core.LifeCycle LifeCycle.State
appender,Constructor Summary Constructors Modifier Constructor Description protected AbstractFactoryData(Configurationconfiguration) Constructs the base factory data.
appender,"This class implements AutoCloseable mostly to allow unit tests to be written safely and succinctly. While managers do need to allocate resources (usually on construction) and then free these resources, a manager is longer lived than other auto-closeable objects like streams. None the less, making a manager AutoCloseable forces readers to be aware of the pattern: allocate resources on construction and call close() at some point."
appender,Nested Class Summary Nested Classes Modifier and Type Class Description protected static class AbstractManager.AbstractFactoryData Implementations should extend this class for passing data between the getManager method and the manager factory class.
appender,"Constructor Summary Constructors Modifier Constructor Description protected AbstractManager(LoggerContextloggerContext, Stringname)"
appender,Constructor Summary Constructors Constructor Description Builder()
appender,Nested Class Summary Nested Classes Modifier and Type Class Description static class AbstractOutputStreamAppender.Builder<B extends AbstractOutputStreamAppender.Builder<B>> Subclasses can extend this abstract Builder. Nested classes/interfaces inherited from interfaceorg.apache.logging.log4j.core.LifeCycle LifeCycle.State
appender,"Constructor Summary Constructors Modifier Constructor Description protected AbstractOutputStreamAppender(Stringname, Layout<? extends Serializable>layout, Filterfilter, booleanignoreExceptions, booleanimmediateFlush, Mmanager) Deprecated. Use AbstractOutputStreamAppender(String, Layout, Filter, boolean, boolean, Property[], OutputStreamManager) protected AbstractOutputStreamAppender(Stringname, Layout<? extends Serializable>layout, Filterfilter, booleanignoreExceptions, booleanimmediateFlush, Property[]properties, Mmanager) Instantiates a WriterAppender and set the output destination to a new OutputStreamWriter initialized with os as its OutputStream."
appender,Nested Class Summary Nested classes/interfaces inherited from classorg.apache.logging.log4j.core.appender.AbstractAppender AbstractAppender.Builder<B extends AbstractAppender.Builder<B>> Nested classes/interfaces inherited from interfaceorg.apache.logging.log4j.core.LifeCycle LifeCycle.State
appender,"Constructor Summary Constructors Modifier Constructor Description protected AbstractWriterAppender(Stringname, StringLayoutlayout, Filterfilter, booleanignoreExceptions, booleanimmediateFlush, Mmanager) Deprecated. Use AbstractWriterAppender(String, StringLayout, Filter, boolean, boolean, Property[], WriterManager). protected AbstractWriterAppender(Stringname, StringLayoutlayout, Filterfilter, booleanignoreExceptions, booleanimmediateFlush, Property[]properties, Mmanager) Instantiates."
appender,"Also note that appenders must provide a way to suppress exceptions when the user desires and abide by that instruction. See Appender.ignoreExceptions(), which is the standard way to do this."
appender,Serialized Form
appender,"Constructor Summary Constructors Constructor Description AppenderLoggingException(Stringmessage) Constructs an exception with a message. AppenderLoggingException(Stringformat, Object...args) Constructs an exception with a message. AppenderLoggingException(Stringmessage, Throwablecause) Constructs an exception with a message and underlying cause. AppenderLoggingException(Throwablecause) Constructs an exception with an underlying cause. AppenderLoggingException(Throwablecause, Stringformat, Object...args) Constructs an exception with a message."
appender,Constructor Summary Constructors Constructor Description Builder()
appender,Nested Class Summary Nested Classes Modifier and Type Class Description static class AppenderSet.Builder
appender,Constructor Summary Constructors Constructor Description Builder()
appender,Nested Class Summary Nested Classes Modifier and Type Class Description static class AsyncAppender.Builder<B extends AsyncAppender.Builder<B>> Nested classes/interfaces inherited from interfaceorg.apache.logging.log4j.core.LifeCycle LifeCycle.State
appender,Constructor Summary Constructors Constructor Description ConfigurationFactoryData(Configurationconfiguration)
appender,Constructor Summary Constructors Constructor Description Builder()
appender,"TODO Accessing System.out or System.err as a byte stream instead of a writer bypasses the JVM's knowledge of the proper encoding. (RG) Encoding is handled within the Layout. Typically, a Layout will generate a String and then call getBytes which may use a configured encoding or the system default. OTOH, a Writer cannot print byte streams."
appender,Nested Class Summary Nested Classes Modifier and Type Class Description static class ConsoleAppender.Builder<B extends ConsoleAppender.Builder<B>> Builds ConsoleAppender instances. static enum ConsoleAppender.Target Enumeration of console destinations. Nested classes/interfaces inherited from interfaceorg.apache.logging.log4j.core.LifeCycle LifeCycle.State
appender,Nested Class Summary Nested classes/interfaces inherited from classorg.apache.logging.log4j.core.appender.AbstractAppender AbstractAppender.Builder<B extends AbstractAppender.Builder<B>> Nested classes/interfaces inherited from interfaceorg.apache.logging.log4j.core.LifeCycle LifeCycle.State
appender,"Constructor Summary Constructors Constructor Description CountingNoOpAppender(Stringname, Layout<?>layout)"
appender,It avoids flooding the StatusLogger by allowing either the first 3 errors or errors once every 5 minutes.
appender,Constructor Summary Constructors Constructor Description DefaultErrorHandler(Appenderappender)
