Module,Text
appender,Related Packages Package Description org.apache.logging.log4j.core Implementation of Log4j 2. org.apache.logging.log4j.core.appender.db The classes in this package and sub packages provide appenders for various types of databases and methods for accessing databases. org.apache.logging.log4j.core.appender.mom Message oriented middleware appenders. org.apache.logging.log4j.core.appender.nosql The NoSQL Appender supports writing log events to NoSQL databases. org.apache.logging.log4j.core.appender.rewrite Apache Flume Appender. org.apache.logging.log4j.core.appender.rolling Rolling File Appender and support classes. org.apache.logging.log4j.core.appender.routing Apache Flume Appender.
appender,"All Classes and InterfacesInterfacesClassesEnumsExceptions Class Description AbstractAppender Abstract base class for Appenders. AbstractAppender.Builder<B extends AbstractAppender.Builder<B>> Subclasses can extend this abstract Builder. AbstractFileAppender<M extends OutputStreamManager> Abstract File Appender. AbstractFileAppender.Builder<B extends AbstractFileAppender.Builder<B>> Builds FileAppender instances. AbstractManager Abstract base class used to register managers. AbstractManager.AbstractFactoryData Implementations should extend this class for passing data between the getManager method and the manager factory class. AbstractOutputStreamAppender<M extends OutputStreamManager> Appends log events as bytes to a byte output stream. AbstractOutputStreamAppender.Builder<B extends AbstractOutputStreamAppender.Builder<B>> Subclasses can extend this abstract Builder. AbstractWriterAppender<M extends WriterManager> Appends log events as strings to a writer. AppenderLoggingException Thrown from an appender when a log event could not be written. AppenderSet A deferred plugin for appenders. AppenderSet.Builder AsyncAppender Appends to one or more Appenders asynchronously. AsyncAppender.Builder<B extends AsyncAppender.Builder<B>> ConfigurationFactoryData Factory Data that carries a configuration. ConsoleAppender Appends log events to System.out or System.err using a layout specified by the user. ConsoleAppender.Builder<B extends ConsoleAppender.Builder<B>> Builds ConsoleAppender instances. ConsoleAppender.Target Enumeration of console destinations. CountingNoOpAppender No-Operation Appender that counts events. DefaultErrorHandler The default ErrorHandler implementation falling back to StatusLogger. FailoverAppender The FailoverAppender will capture exceptions in an Appender and then route the event to a different appender. FailoversPlugin The array of failover Appenders. FileAppender File Appender. FileAppender.Builder<B extends FileAppender.Builder<B>> Builds FileAppender instances. FileManager Manages actual File I/O for File Appenders. HttpAppender Sends log events over HTTP. HttpAppender.Builder<B extends HttpAppender.Builder<B>> Builds HttpAppender instances. HttpManager HttpURLConnectionManager ManagerFactory<M,T> Creates Manager objects. MemoryMappedFileAppender Memory Mapped File Appender. MemoryMappedFileAppender.Builder<B extends MemoryMappedFileAppender.Builder<B>> Builds RandomAccessFileAppender instances. MemoryMappedFileManager Extends OutputStreamManager but instead of using a buffered output stream, this class maps a region of a file into memory and writes to this memory region. NullAppender An Appender that ignores log events. OutputStreamAppender Appends log events to a given output stream using a layout. OutputStreamAppender.Builder<B extends OutputStreamAppender.Builder<B>> Builds OutputStreamAppender instances. OutputStreamManager Manages an OutputStream so that it can be shared by multiple Appenders and will allow appenders to reconfigure without requiring a new stream. RandomAccessFileAppender File Appender. RandomAccessFileAppender.Builder<B extends RandomAccessFileAppender.Builder<B>> Builds RandomAccessFileAppender instances. RandomAccessFileManager Extends OutputStreamManager but instead of using a buffered output stream, this class uses a ByteBuffer and a RandomAccessFile to do the I/O. RollingFileAppender An appender that writes to files and can roll over at intervals. RollingFileAppender.Builder<B extends RollingFileAppender.Builder<B>> Builds FileAppender instances. RollingRandomAccessFileAppender An appender that writes to random access files and can roll over at intervals. RollingRandomAccessFileAppender.Builder<B extends RollingRandomAccessFileAppender.Builder<B>> ScriptAppenderSelector ScriptAppenderSelector.Builder Builds an appender. SmtpAppender Send an e-mail when a specific logging event occurs, typically on errors or fatal errors. SmtpAppender.Builder SocketAppender An Appender that delivers events over socket connections. SocketAppender.AbstractBuilder<B extends SocketAppender.AbstractBuilder<B>> Subclasses can extend this abstract Builder. SocketAppender.Builder Builds a SocketAppender. SyslogAppender The Syslog Appender. SyslogAppender.Builder<B extends SyslogAppender.Builder<B>> TlsSyslogFrame Wraps messages that are formatted according to RFC 5425. WriterAppender Appends log events to a Writer. WriterAppender.Builder<B extends WriterAppender.Builder<B>> Builds WriterAppender instances. WriterManager Manages a Writer so that it can be shared by multiple Appenders and will allow appenders to reconfigure without requiring a new writer."
appender,Related Packages Package Description org.apache.logging.log4j.core.appender Log4j 2 Appenders. org.apache.logging.log4j.core.appender.db.jdbc The JDBC Appender supports writing log events to a relational database using standard JDBC connections. org.apache.logging.log4j.core.appender.mom Message oriented middleware appenders. org.apache.logging.log4j.core.appender.nosql The NoSQL Appender supports writing log events to NoSQL databases. org.apache.logging.log4j.core.appender.rewrite Apache Flume Appender. org.apache.logging.log4j.core.appender.rolling Rolling File Appender and support classes. org.apache.logging.log4j.core.appender.routing Apache Flume Appender.
appender,"All Classes and InterfacesClassesExceptions Class Description AbstractDatabaseAppender<T extends AbstractDatabaseManager> An abstract Appender for writing events to a database of some type, be it relational or NoSQL. AbstractDatabaseAppender.Builder<B extends AbstractDatabaseAppender.Builder<B>> AbstractDatabaseManager Manager that allows database appenders to have their configuration reloaded without losing events. AbstractDatabaseManager.AbstractFactoryData Implementations should extend this class for passing data between the getManager method and the manager factory class. ColumnMapping A configuration element for specifying a database column name mapping. ColumnMapping.Builder Builder for ColumnMapping. DbAppenderLoggingException Wraps a database exception like a JDBC SQLException."
appender,Related Packages Package Description org.apache.logging.log4j.core.appender.db The classes in this package and sub packages provide appenders for various types of databases and methods for accessing databases.
appender,"All Classes and InterfacesInterfacesClasses Class Description AbstractConnectionSource AbstractDriverManagerConnectionSource A ConnectionSource that uses a JDBC connection string, a user name, and a password to call DriverManager.getConnection(String, String, String). AbstractDriverManagerConnectionSource.Builder<B extends AbstractDriverManagerConnectionSource.Builder<B>> Builds DriverManagerConnectionSource instances. ColumnConfig A configuration element used to configure which event properties are logged to which columns in the database table. ColumnConfig.Builder ConnectionSource Configuration element for JdbcAppender. DataSourceConnectionSource A JdbcAppender connection source that uses a DataSource to connect to the database. DriverManagerConnectionSource A ConnectionSource that uses a JDBC connection string, a user name, and a password to call DriverManager.getConnection(String, String, String). DriverManagerConnectionSource.Builder<B extends DriverManagerConnectionSource.Builder<B>> Builds DriverManagerConnectionSource instances. FactoryMethodConnectionSource A JdbcAppender connection source that uses a public static factory method to obtain a Connection or DataSource. JdbcAppender This Appender writes logging events to a relational database using standard JDBC mechanisms. JdbcAppender.Builder<B extends JdbcAppender.Builder<B>> JdbcDatabaseManager An AbstractDatabaseManager implementation for relational databases accessed via JDBC."
appender,Related Packages Package Description org.apache.logging.log4j.core.appender Log4j 2 Appenders. org.apache.logging.log4j.core.appender.mom.jeromq Classes and interfaces for ZeroMQ/JeroMQ support. org.apache.logging.log4j.core.appender.mom.kafka Classes and interfaces for Kafka appender support. org.apache.logging.log4j.core.appender.db The classes in this package and sub packages provide appenders for various types of databases and methods for accessing databases. org.apache.logging.log4j.core.appender.nosql The NoSQL Appender supports writing log events to NoSQL databases. org.apache.logging.log4j.core.appender.rewrite Apache Flume Appender. org.apache.logging.log4j.core.appender.rolling Rolling File Appender and support classes. org.apache.logging.log4j.core.appender.routing Apache Flume Appender.
appender,Classes Class Description JmsAppender Generic JMS Appender plugin for both queues and topics. JmsAppender.Builder<B extends JmsAppender.Builder<B>> JmsManager Consider this class private; it is only public for access by integration tests. JmsManager.JmsManagerConfiguration
appender,Related Packages Package Description org.apache.logging.log4j.core.appender.mom Message oriented middleware appenders. org.apache.logging.log4j.core.appender.mom.kafka Classes and interfaces for Kafka appender support.
appender,Classes Class Description JeroMqAppender Sends log events to one or more ZeroMQ (JeroMQ) endpoints. JeroMqManager Manager for publishing messages via JeroMq.
