Module,Text
appender,getConfiguration publicConfigurationgetConfiguration()
appender,getLayout publicLayout<? extends Serializable>getLayout()
appender,getName publicStringgetName()
appender,getOrCreateLayout publicLayout<? extends Serializable>getOrCreateLayout()
appender,getOrCreateLayout publicLayout<? extends Serializable>getOrCreateLayout(Charsetcharset)
appender,isIgnoreExceptions publicbooleanisIgnoreExceptions()
appender,setConfiguration publicBsetConfiguration(Configurationconfiguration)
appender,setIgnoreExceptions publicBsetIgnoreExceptions(booleanignoreExceptions)
appender,setLayout publicBsetLayout(Layout<? extends Serializable>layout)
appender,setName publicBsetName(Stringname)
appender,withConfiguration @Deprecated publicBwithConfiguration(Configurationconfiguration) Deprecated. Use setConfiguration(Configuration)
appender,withIgnoreExceptions @Deprecated publicBwithIgnoreExceptions(booleanignoreExceptions) Deprecated. use setIgnoreExceptions(boolean).
appender,withLayout @Deprecated publicBwithLayout(Layout<? extends Serializable>layout) Deprecated. use setLayout(Layout).
appender,withName @Deprecated publicBwithName(Stringname) Deprecated. use setName(String).
appender,getErrorPrefix publicStringgetErrorPrefix()
appender,"parseInt public staticintparseInt(Strings, intdefaultValue)"
appender,requiresLocation publicbooleanrequiresLocation() Specified by: requiresLocationin interfaceLocationAware
appender,error publicvoiderror(Stringmsg) Handle an error with a message using the ErrorHandler configured for this Appender. Parameters: msg - The message.
appender,"error publicvoiderror(Stringmsg, LogEventevent, Throwablet) Handle an error with a message, exception, and a logging event, using the ErrorHandler configured for this Appender. Parameters: msg - The message. event - The LogEvent. t - The Throwable."
appender,"error publicvoiderror(Stringmsg, Throwablet) Handle an error with a message and an exception using the ErrorHandler configured for this Appender. Parameters: msg - The message. t - The Throwable."
appender,"getHandler publicErrorHandlergetHandler() Returns the ErrorHandler, if any. Specified by: getHandlerin interfaceAppender Returns: The ErrorHandler."
appender,getLayout publicLayout<? extends Serializable>getLayout() Returns the Layout for the appender. Specified by: getLayoutin interfaceAppender Returns: The Layout used to format the event.
appender,getName publicStringgetName() Returns the name of the Appender. Specified by: getNamein interfaceAppender Returns: The name of the Appender.
appender,"ignoreExceptions publicbooleanignoreExceptions() Some appenders need to propagate exceptions back to the application. When ignoreExceptions is false the AppenderControl will allow the exception to percolate. Specified by: ignoreExceptionsin interfaceAppender Returns: true if exceptions will be logged but now thrown, false otherwise."
appender,setHandler publicvoidsetHandler(ErrorHandlerhandler) The handler must be set before the appender is started. Specified by: setHandlerin interfaceAppender Parameters: handler - The ErrorHandler to use.
appender,toSerializable protectedSerializabletoSerializable(LogEventevent) Serializes the given event using the appender's layout if present. Parameters: event - the event to serialize. Returns: the serialized event or null if no layout is present.
appender,toString publicStringtoString() Overrides: toStringin classObject
appender,getAdvertiseUri publicStringgetAdvertiseUri()
appender,getFileName publicStringgetFileName()
appender,isAdvertise publicbooleanisAdvertise()
appender,isAppend publicbooleanisAppend()
appender,isCreateOnDemand publicbooleanisCreateOnDemand()
appender,isLocking publicbooleanisLocking()
appender,getFilePermissions publicStringgetFilePermissions()
appender,getFileOwner publicStringgetFileOwner()
appender,getFileGroup publicStringgetFileGroup()
appender,withAdvertise publicBwithAdvertise(booleanadvertise)
appender,withAdvertiseUri publicBwithAdvertiseUri(StringadvertiseUri)
appender,withAppend publicBwithAppend(booleanappend)
appender,withFileName publicBwithFileName(StringfileName)
appender,withCreateOnDemand publicBwithCreateOnDemand(booleancreateOnDemand)
appender,withLocking publicBwithLocking(booleanlocking)
appender,withFilePermissions publicBwithFilePermissions(StringfilePermissions)
appender,withFileOwner publicBwithFileOwner(StringfileOwner)
appender,withFileGroup publicBwithFileGroup(StringfileGroup)
appender,getFileName publicStringgetFileName() Returns the file name this appender is associated with. Returns: The File name.
appender,"stop publicbooleanstop(longtimeout, TimeUnittimeUnit) Description copied from class:AbstractFilterable Cleanup the Filter. Specified by: stopin interfaceLifeCycle2 Overrides: stopin classAbstractOutputStreamAppender<M extends OutputStreamManager> Parameters: timeout - the maximum time to wait timeUnit - the time unit of the timeout argument Returns: true if the receiver was stopped cleanly and normally, false otherwise."
appender,getConfiguration publicConfigurationgetConfiguration() Gets my configuration. Returns: my configuration.
appender,close publicvoidclose() Called to signify that this Manager is no longer required by an Appender. Specified by: closein interfaceAutoCloseable
appender,"stop publicbooleanstop(longtimeout, TimeUnittimeUnit)"
appender,"getManager public static<M extends AbstractManager, T>MgetManager(Stringname, ManagerFactory<M,T>factory, Tdata) Retrieves a Manager if it has been previously created or creates a new Manager. Type Parameters: M - The Type of the Manager to be created. T - The type of the Factory data. Parameters: name - The name of the Manager to retrieve. factory - The Factory to use to create the Manager. data - An Object that should be passed to the factory when creating the Manager. Returns: A Manager with the specified name and type."
appender,updateData publicvoidupdateData(Objectdata) Used by Log4j to update the Manager during reconfiguration. This method should be considered private. Implementations may not be thread safe. This method may be made protected in a future release. Parameters: data - The data to update.
appender,"hasManager public staticbooleanhasManager(Stringname) Determines if a Manager with the specified name exists. Parameters: name - The name of the Manager. Returns: True if the Manager exists, false otherwise."
appender,"narrow protected static<M extends AbstractManager>Mnarrow(Class<M>narrowClass, AbstractManagermanager) Returns the specified manager, cast to the specified narrow type. Type Parameters: M - the narrow type Parameters: narrowClass - the type to cast to manager - the manager object to return Returns: the specified manager, cast to the specified narrow type Throws: ConfigurationException - if the manager cannot be cast to the specified type, which only happens when the configuration has multiple incompatible appenders pointing to the same resource Since: 2.9 See Also: LOG4J2-1908"
appender,LOG4J2-1908
appender,logger protected staticStatusLoggerlogger()
appender,"releaseSub protectedbooleanreleaseSub(longtimeout, TimeUnittimeUnit) May be overridden by managers to perform processing while the manager is being released and the lock is held. A timeout is passed for implementors to use as they see fit. Parameters: timeout - timeout timeUnit - timeout time unit Returns: true if all resources were closed normally, false otherwise."
appender,getCount protectedintgetCount()
appender,getLoggerContext publicLoggerContextgetLoggerContext() Gets the logger context used to create this instance or null. The logger context is usually set when an appender creates a manager and that appender is given a Configuration. Not all appenders are given a Configuration by their factory method or builder. Returns: the logger context used to create this instance or null.
appender,"release @Deprecated publicvoidrelease() Deprecated. In 2.7, use close(). Called to signify that this Manager is no longer required by an Appender."
appender,getName publicStringgetName() Returns the name of the Manager. Returns: The name of the Manager.
appender,"getContentFormat publicMap<String,String>getContentFormat() Provide a description of the content format supported by this Manager. Default implementation returns an empty (unspecified) Map. Returns: a Map of key/value pairs describing the Manager-specific content format, or an empty Map if no content format descriptors are specified."
appender,getStrSubstitutor protectedStrSubstitutorgetStrSubstitutor() Gets my configuration's StrSubstitutor or null. Returns: my configuration's StrSubstitutor or null.
appender,"log protectedvoidlog(Levellevel, Stringmessage, Throwablethrowable)"
appender,"logDebug protectedvoidlogDebug(Stringmessage, Throwablethrowable)"
appender,"logError protectedvoidlogError(Stringmessage, Throwablethrowable)"
appender,"logWarn protectedvoidlogWarn(Stringmessage, Throwablethrowable)"
appender,getBufferSize publicintgetBufferSize()
appender,isBufferedIo publicbooleanisBufferedIo()
appender,isImmediateFlush publicbooleanisImmediateFlush()
appender,setImmediateFlush publicBsetImmediateFlush(booleanimmediateFlush)
appender,setBufferedIo publicBsetBufferedIo(booleanbufferedIo)
appender,setBufferSize publicBsetBufferSize(intbufferSize)
appender,withImmediateFlush @Deprecated publicBwithImmediateFlush(booleanimmediateFlush) Deprecated.
appender,withBufferedIo @Deprecated publicBwithBufferedIo(booleanbufferedIo) Deprecated.
appender,withBufferSize @Deprecated publicBwithBufferSize(intbufferSize) Deprecated.
appender,getImmediateFlush publicbooleangetImmediateFlush() Gets the immediate flush setting. Returns: immediate flush.
appender,getManager publicMgetManager() Gets the manager. Returns: the manager.
appender,start publicvoidstart() Description copied from class:AbstractFilterable Make the Filter available for use. Specified by: startin interfaceLifeCycle Overrides: startin classAbstractFilterable
appender,"stop publicbooleanstop(longtimeout, TimeUnittimeUnit) Description copied from class:AbstractFilterable Cleanup the Filter. Specified by: stopin interfaceLifeCycle2 Overrides: stopin classAbstractFilterable Parameters: timeout - the maximum time to wait timeUnit - the time unit of the timeout argument Returns: true if the receiver was stopped cleanly and normally, false otherwise."
appender,"stop protectedbooleanstop(longtimeout, TimeUnittimeUnit, booleanchangeLifeCycleState) Description copied from class:AbstractFilterable Cleanup the Filter. Overrides: stopin classAbstractFilterable"
appender,append publicvoidappend(LogEventevent) Actual writing occurs here. Most subclasses of AbstractOutputStreamAppender will need to override this method. Parameters: event - The LogEvent.
appender,directEncodeEvent protectedvoiddirectEncodeEvent(LogEventevent)
appender,writeByteArrayToManager protectedvoidwriteByteArrayToManager(LogEventevent)
appender,append publicvoidappend(LogEventevent) Actual writing occurs here. Most subclasses will need to override this method. Parameters: event - The LogEvent.
appender,getManager publicMgetManager() Gets the manager. Returns: the manager.
appender,getStringLayout publicStringLayoutgetStringLayout()
appender,start publicvoidstart() Description copied from class:AbstractFilterable Make the Filter available for use. Specified by: startin interfaceLifeCycle Overrides: startin classAbstractFilterable
appender,"stop publicbooleanstop(longtimeout, TimeUnittimeUnit) Description copied from class:AbstractFilterable Cleanup the Filter. Specified by: stopin interfaceLifeCycle2 Overrides: stopin classAbstractFilterable Parameters: timeout - the maximum time to wait timeUnit - the time unit of the timeout argument Returns: true if the receiver was stopped cleanly and normally, false otherwise."
appender,build publicAppenderSetbuild() Description copied from interface:Builder Builds the object after all configuration has been set. This will use default values for any unspecified attributes for the object. Specified by: buildin interfaceBuilder<AppenderSet> Returns: the configured instance.
appender,getNode publicNodegetNode()
appender,getConfiguration publicConfigurationgetConfiguration()
appender,withNode publicAppenderSet.BuilderwithNode(Nodenode)
appender,withConfiguration publicAppenderSet.BuilderwithConfiguration(Configurationconfiguration)
appender,toString publicStringtoString() Overrides: toStringin classObject
appender,newBuilder @PluginBuilderFactory public staticAppenderSet.BuildernewBuilder()
appender,"createAppender publicAppendercreateAppender(StringactualAppenderName, StringsourceAppenderName)"
appender,setAppenderRefs publicAsyncAppender.BuildersetAppenderRefs(AppenderRef[]appenderRefs)
appender,setErrorRef publicAsyncAppender.BuildersetErrorRef(StringerrorRef)
appender,setBlocking publicAsyncAppender.BuildersetBlocking(booleanblocking)
appender,setShutdownTimeout publicAsyncAppender.BuildersetShutdownTimeout(longshutdownTimeout)
appender,setBufferSize publicAsyncAppender.BuildersetBufferSize(intbufferSize)
appender,setName publicAsyncAppender.BuildersetName(Stringname)
appender,setIncludeLocation publicAsyncAppender.BuildersetIncludeLocation(booleanincludeLocation)
appender,setConfiguration publicAsyncAppender.BuildersetConfiguration(Configurationconfiguration)
appender,setIgnoreExceptions publicAsyncAppender.BuildersetIgnoreExceptions(booleanignoreExceptions)
appender,setBlockingQueueFactory publicAsyncAppender.BuildersetBlockingQueueFactory(BlockingQueueFactory<LogEvent>blockingQueueFactory)
appender,build publicAsyncAppenderbuild() Description copied from interface:Builder Builds the object after all configuration has been set. This will use default values for any unspecified attributes for the object. Specified by: buildin interfaceBuilder<B extends AsyncAppender.Builder<B>> Returns: the configured instance.
appender,start publicvoidstart() Description copied from class:AbstractFilterable Make the Filter available for use. Specified by: startin interfaceLifeCycle Overrides: startin classAbstractFilterable
appender,"stop publicbooleanstop(longtimeout, TimeUnittimeUnit) Description copied from class:AbstractFilterable Cleanup the Filter. Specified by: stopin interfaceLifeCycle2 Overrides: stopin classAbstractFilterable Parameters: timeout - the maximum time to wait timeUnit - the time unit of the timeout argument Returns: true if the receiver was stopped cleanly and normally, false otherwise."
appender,append publicvoidappend(LogEventlogEvent) Actual writing occurs here. Parameters: logEvent - The LogEvent.
appender,logMessageInCurrentThread publicvoidlogMessageInCurrentThread(LogEventlogEvent) FOR INTERNAL USE ONLY. Parameters: logEvent - the event to log
appender,logMessageInBackgroundThread publicvoidlogMessageInBackgroundThread(LogEventlogEvent) FOR INTERNAL USE ONLY. Parameters: logEvent - the event to log
appender,"createAppender @Deprecated public staticAsyncAppendercreateAppender(AppenderRef[]appenderRefs, StringerrorRef, booleanblocking, longshutdownTimeout, intsize, Stringname, booleanincludeLocation, Filterfilter, Configurationconfig, booleanignoreExceptions) Deprecated. use AsyncAppender.Builder instead Create an AsyncAppender. This method is retained for backwards compatibility. New code should use the AsyncAppender.Builder instead. This factory will use ArrayBlockingQueueFactory by default as was the behavior pre-2.7. Parameters: appenderRefs - The Appenders to reference. errorRef - An optional Appender to write to if the queue is full or other errors occur. blocking - True if the Appender should wait when the queue is full. The default is true. shutdownTimeout - How many milliseconds the Appender should wait to flush outstanding log events in the queue on shutdown. The default is zero which means to wait forever. size - The size of the event queue. The default is 128. name - The name of the Appender. includeLocation - whether to include location information. The default is false. filter - The Filter or null. config - The Configuration. ignoreExceptions - If ""true"" (default) exceptions encountered when appending events are logged; otherwise they are propagated to the caller. Returns: The AsyncAppender."
appender,newBuilder @PluginBuilderFactory public staticAsyncAppender.BuildernewBuilder()
appender,getAppenderRefStrings publicString[]getAppenderRefStrings() Returns the names of the appenders that this asyncAppender delegates to as an array of Strings. Returns: the names of the sink appenders
appender,"isIncludeLocation publicbooleanisIncludeLocation() Returns true if this AsyncAppender will take a snapshot of the stack with every log event to determine the class and method where the logging call was made. Returns: true if location is included with every event, false otherwise"
appender,"isBlocking publicbooleanisBlocking() Returns true if this AsyncAppender will block when the queue is full, or false if events are dropped when the queue is full. Returns: whether this AsyncAppender will block or drop events when the queue is full."
appender,getAppenders publicList<Appender>getAppenders() Gets all Appenders. Returns: a list of Appenders.
appender,getErrorRef publicStringgetErrorRef() Returns the name of the appender that any errors are logged to or null. Returns: the name of the appender that any errors are logged to or null
