Module,Text
calib3d,Class for extracting blobs from an image. :
calib3d,The class implements a simple algorithm for extracting blobs from an image:
calib3d,This class performs several filtrations of returned blobs. You should set filterBy* to true/false to turn on/off corresponding filtration. Available filtrations:
calib3d,"By color. This filter compares the intensity of a binary image at the center of a blob to blobColor. If they differ, the blob is filtered out. Use blobColor = 0 to extract dark blobs and blobColor = 255 to extract light blobs. By area. Extracted blobs have an area between minArea (inclusive) and maxArea (exclusive). By circularity. Extracted blobs have circularity ( \(\frac{4*\pi*Area}{perimeter * perimeter}\)) between minCircularity (inclusive) and maxCircularity (exclusive). By ratio of the minimum inertia to maximum inertia. Extracted blobs have this ratio between minInertiaRatio (inclusive) and maxInertiaRatio (exclusive). By convexity. Extracted blobs have convexity (area / area of blob convex hull) between minConvexity (inclusive) and maxConvexity (exclusive)."
calib3d,Default values of parameters are tuned to extract dark circular blobs.
calib3d,Classes struct cvhalDFT  Dummy structure storing DFT/DCT context. More... 
calib3d,The base class for stereo correspondence algorithms.
calib3d,The class implements the modified H. Hirschmuller algorithm [126] that differs from the original one as follows:
calib3d,"By default, the algorithm is single-pass, which means that you consider only 5 directions instead of 8. Set mode=StereoSGBM::MODE_HH in createStereoSGBM to run the full variant of the algorithm but beware that it may consume a lot of memory. The algorithm matches blocks, not individual pixels. Though, setting blockSize=1 reduces the blocks to single pixels. Mutual information cost function is not implemented. Instead, a simpler Birchfield-Tomasi sub-pixel metric from [28] is used. Though, the color images are supported as well. Some pre- and post- processing steps from K. Konolige algorithm StereoBM are included, for example: pre-filtering (StereoBM::PREFILTER_XSOBEL type) and post-filtering (uniqueness check, quadratic interpolation and speckle filtering)."
calib3d,(Python) An example illustrating the use of the StereoSGBM matching algorithm can be found at opencv_source_code/samples/python/stereo_match.py
calib3d,Classes class cv::LDA  Linear Discriminant Analysis. More...  class cv::PCA  Principal Component Analysis. More...  class cv::RNG  Random Number Generator. More...  class cv::RNG_MT19937  Mersenne Twister random number generator. More...  class cv::SVD  Singular Value Decomposition. More... 
calib3d,n-dimensional dense array class
