Module,Text
calib3d,Public Member Functions
calib3d,virtual
calib3d,virtual void
calib3d,virtual void
calib3d,virtual int
calib3d,virtual int
calib3d,virtual int
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual bool
calib3d,Return true if detector object is empty.
calib3d,virtual String
calib3d,virtual void
calib3d,Reads algorithm parameters from a file storage.
calib3d,void
calib3d,void
calib3d,void
calib3d,virtual void
calib3d,Stores algorithm parameters in a file storage.
calib3d,void
calib3d,Public Member Functions inherited from cv::Algorithm
calib3d,virtual
calib3d,virtual void
calib3d,Clears the algorithm state.
calib3d,virtual void
calib3d,void
calib3d,void
calib3d,Public Member Functions
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,"template<typename _Tp , int m, int n>"
calib3d,"template<typename _Tp , std::size_t _Nm>"
calib3d,template<std::size_t _Nm>
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,"template<typename _Tp , int m, int n>"
calib3d,"template<typename _Tp , std::size_t _Nm>"
calib3d,template<std::size_t _Nm>
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,"template<typename _Tp , std::size_t _Nm>"
calib3d,_InputOutputArray
calib3d,Public Member Functions inherited from cv::_OutputArray
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,"template<typename _Tp , int m, int n>"
calib3d,"template<typename _Tp , std::size_t _Nm>"
calib3d,template<std::size_t _Nm>
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,"template<typename _Tp , int m, int n>"
calib3d,"template<typename _Tp , std::size_t _Nm>"
calib3d,template<std::size_t _Nm>
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,void
calib3d,void
calib3d,void
calib3d,void
calib3d,void
calib3d,void
calib3d,void
calib3d,void
calib3d,void
calib3d,bool
calib3d,bool
calib3d,cuda::GpuMat &
calib3d,std::vector< cuda::GpuMat > &
calib3d,cuda::HostMem &
calib3d,Mat &
calib3d,ogl::Buffer &
calib3d,UMat &
calib3d,void
calib3d,void
calib3d,bool
calib3d,void
calib3d,void
calib3d,Public Member Functions inherited from cv::_InputArray
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,"template<typename _Tp , int m, int n>"
calib3d,"template<typename _Tp , std::size_t _Nm>"
calib3d,template<std::size_t _Nm>
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,template<typename _Tp >
calib3d,int
calib3d,int
calib3d,void
calib3d,void
calib3d,int
calib3d,int
calib3d,bool
calib3d,int
calib3d,cuda::GpuMat
calib3d,void
calib3d,Mat
calib3d,Mat
calib3d,void
calib3d,void *
calib3d,ogl::Buffer
calib3d,Size
calib3d,UMat
calib3d,void
calib3d,bool
calib3d,bool
calib3d,bool
calib3d,bool
calib3d,bool
calib3d,bool
calib3d,bool
calib3d,bool
calib3d,bool
calib3d,bool
calib3d,_InputArray::KindFlag
calib3d,size_t
calib3d,int
calib3d,bool
calib3d,Size
calib3d,int
calib3d,size_t
calib3d,size_t
calib3d,int
calib3d,Public Member Functions
calib3d,MatExpr
calib3d,Mat
calib3d,MatExpr
calib3d,double
calib3d,MatExpr
calib3d,MatExpr
calib3d,MatExpr
calib3d,template<typename _Tp >
calib3d,MatExpr
calib3d,MatExpr
calib3d,MatExpr
calib3d,Size
calib3d,void
calib3d,MatExpr
calib3d,int
calib3d,Public Member Functions
calib3d,virtual
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual bool
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual Size
calib3d,virtual void
calib3d,virtual void
calib3d,virtual void
calib3d,virtual int
calib3d,Public Member Functions
calib3d,default constructor
calib3d,"template<typename _Tp2 , int cn>"
calib3d,Scalar_< _Tp >
calib3d,bool
calib3d,returns true iff v1 == v2 == v3 == 0
calib3d,Scalar_< _Tp >
calib3d,per-element product
calib3d,template<typename T2 >
calib3d,conversion to another data type
calib3d,Scalar_ &
calib3d,Scalar_ &
calib3d,"Public Member Functions inherited from cv::Vec< _Tp, 4 >"
calib3d,default constructor
calib3d,1-element vector constructor
calib3d,2-element vector constructor
calib3d,3-element vector constructor
calib3d,4-element vector constructor
calib3d,5-element vector constructor
calib3d,6-element vector constructor
calib3d,7-element vector constructor
calib3d,8-element vector constructor
calib3d,9-element vector constructor
calib3d,10-element vector constructor
calib3d,14-element vector constructor
calib3d,Vec
calib3d,Vec
calib3d,Vec
calib3d,per-element multiplication
calib3d,conversion to another data type
calib3d,_Tp &
calib3d,const _Tp &
calib3d,"Vec< _Tp, cn > &"
calib3d,_Tp &
calib3d,const _Tp &
calib3d,"Public Member Functions inherited from cv::Matx< _Tp, cn, 1 >"
calib3d,default constructor
calib3d,1x1 matrix
calib3d,1x2 or 2x1 matrix
calib3d,1x3 or 3x1 matrix
calib3d,"1x4, 2x2 or 4x1 matrix"
calib3d,1x5 or 5x1 matrix
calib3d,"1x6, 2x3, 3x2 or 6x1 matrix"
calib3d,1x7 or 7x1 matrix
calib3d,"1x8, 2x4, 4x2 or 8x1 matrix"
calib3d,"1x9, 3x3 or 9x1 matrix"
calib3d,"1x10, 2x5 or 5x2 or 10x1 matrix"
calib3d,"1x12, 2x6, 3x4, 4x3, 6x2 or 12x1 matrix"
calib3d,"1x14, 2x7, 7x2 or 14x1 matrix"
calib3d,"1x16, 4x4 or 16x1 matrix"
calib3d,initialize from a plain array
calib3d,initialize from an initializer list
calib3d,"Matx< _Tp, m, 1 >"
calib3d,extract the matrix column
calib3d,double
calib3d,dot product computed in double-precision arithmetics
calib3d,diag_type
calib3d,extract the matrix diagonal
calib3d,"Matx< _Tp, m, n >"
calib3d,divide two matrices element-wise
calib3d,_Tp
calib3d,dot product computed with the default precision
calib3d,"Matx< _Tp, m1, n1 >"
calib3d,extract part of the matrix
calib3d,"Matx< _Tp, n, m >"
calib3d,invert the matrix
calib3d,"Matx< _Tp, m, n >"
calib3d,multiply two matrices element-wise
calib3d,conversion to another data type
calib3d,_Tp &
calib3d,const _Tp &
calib3d,1D element access
calib3d,_Tp &
