Module,Text
calib3d,Classes class cv::cuda::CannyEdgeDetector  Base class for Canny Edge Detector. : More...  class cv::cuda::TemplateMatching  Base class for Template Matching. : More... 
calib3d,Abstract base class for 2D image feature detectors and descriptor extractors.
calib3d,"Template ""trait"" class for OpenCV primitive data types."
calib3d,"A primitive OpenCV data type is one of unsigned char, bool, signed char, unsigned short, signed short, int, float, double, or a tuple of values of one of these types, where all the values in the tuple have the same type. Any primitive type from the list can be defined by an identifier in the form CV_<bit-depth>{U|S|F}C(<number_of_channels>), for example: uchar CV_8UC1, 3-element floating-point tuple CV_32FC3, and so on. A universal OpenCV structure that is able to store a single instance of such a primitive data type is Vec. Multiple instances of such a type can be stored in a std::vector, Mat, Mat_, SparseMat, SparseMat_, or any other container that is able to store Vec instances."
calib3d,"The DataType class is basically used to provide a description of such primitive data types without adding any fields or methods to the corresponding classes (and it is actually impossible to add anything to primitive C/C++ data types). This technique is known in C++ as class traits. It is not DataType itself that is used but its specialized versions, such as:"
calib3d,"The main purpose of this class is to convert compilation-time type information to an OpenCV-compatible data type identifier, for example:"
calib3d,"So, such traits are used to tell OpenCV which data type you are working with, even if such a type is not native to OpenCV. For example, the matrix B initialization above is compiled because OpenCV defines the proper specialized template class DataType<complex<_Tp> > . This mechanism is also useful (and used in OpenCV this way) for generic algorithms implementations."
calib3d,opencv2/core/traits.hpp
calib3d,src source array dst destination array len length of arrays
calib3d,"Functions int hal_ni_invSqrt32f (const float *src, float *dst, int len)  int hal_ni_invSqrt64f (const double *src, double *dst, int len) "
calib3d,Base storage class for GPU memory with reference counting.
calib3d,Its interface matches the Mat interface with the following limitations:
calib3d,no arbitrary dimensions support (only 2D) no functions that return references to their data (because references on GPU are not valid for CPU) no expression templates technique support
calib3d,Beware that the latter limitation may lead to overloaded matrix operators that cause memory allocations. The GpuMat class is convertible to cuda::PtrStepSz and cuda::PtrStep so it can be passed directly to the kernel.
calib3d,"Some member functions are described as a ""Blocking Call"" while some are described as a ""Non-Blocking Call"". Blocking functions are synchronous to host. It is guaranteed that the GPU operation is finished when the function returns. However, non-blocking functions are asynchronous to host. Those functions may return even if the GPU operation is not finished."
calib3d,"Compared to their blocking counterpart, non-blocking functions accept Stream as an additional argument. If a non-default stream is passed, the GPU operation may overlap with operations in other streams."
calib3d,"Classes struct cv::cudacodec::EncodeQp  class cv::cudacodec::EncoderCallback  Interface for encoder callbacks. More...  struct cv::cudacodec::EncoderParams  Different parameters for CUDA video encoder. More...  struct cv::cudacodec::FormatInfo  Struct providing information about video file format. : More...  class cv::cudacodec::RawVideoSource  Interface for video demultiplexing. : More...  class cv::cudacodec::VideoReader  Video reader interface, see createVideoReader(). More...  struct cv::cudacodec::VideoReaderInitParams  VideoReader initialization parameters. More...  class cv::cudacodec::VideoWriter  Video writer interface, see createVideoWriter(). More... "
calib3d,Class for extracting blobs from an image. :
calib3d,The class implements a simple algorithm for extracting blobs from an image:
calib3d,This class performs several filtrations of returned blobs. You should set filterBy* to true/false to turn on/off corresponding filtration. Available filtrations:
