Module,Text
calib3d,Additional Inherited Members
calib3d,Public Types inherited from cv::_OutputArray
calib3d,enum
calib3d,"DepthMask { DEPTH_MASK_8U = 1 << CV_8U , DEPTH_MASK_8S = 1 << CV_8S , DEPTH_MASK_16U = 1 << CV_16U , DEPTH_MASK_16S = 1 << CV_16S , DEPTH_MASK_32S = 1 << CV_32S , DEPTH_MASK_32F = 1 << CV_32F , DEPTH_MASK_64F = 1 << CV_64F , DEPTH_MASK_16F = 1 << CV_16F , DEPTH_MASK_ALL = (DEPTH_MASK_64F<<1)-1 , DEPTH_MASK_ALL_BUT_8S = DEPTH_MASK_ALL & ~DEPTH_MASK_8S , DEPTH_MASK_ALL_16F = (DEPTH_MASK_16F<<1)-1 , DEPTH_MASK_FLT = DEPTH_MASK_32F + DEPTH_MASK_64F }"
calib3d,Public Types inherited from cv::_InputArray
calib3d,enum
calib3d,"KindFlag { KIND_SHIFT = 16 , FIXED_TYPE = 0x8000 << KIND_SHIFT , FIXED_SIZE = 0x4000 << KIND_SHIFT , KIND_MASK = 31 << KIND_SHIFT , NONE = 0 << KIND_SHIFT , MAT = 1 << KIND_SHIFT , MATX = 2 << KIND_SHIFT , STD_VECTOR = 3 << KIND_SHIFT , STD_VECTOR_VECTOR = 4 << KIND_SHIFT , STD_VECTOR_MAT = 5 << KIND_SHIFT , EXPR = 6 << KIND_SHIFT , OPENGL_BUFFER = 7 << KIND_SHIFT , CUDA_HOST_MEM = 8 << KIND_SHIFT , CUDA_GPU_MAT = 9 << KIND_SHIFT , UMAT =10 << KIND_SHIFT , STD_VECTOR_UMAT =11 << KIND_SHIFT , STD_BOOL_VECTOR =12 << KIND_SHIFT , STD_VECTOR_CUDA_GPU_MAT = 13 << KIND_SHIFT , STD_ARRAY =14 << KIND_SHIFT , STD_ARRAY_MAT =15 << KIND_SHIFT }"
calib3d,Protected Member Functions inherited from cv::_InputArray
calib3d,void
calib3d,"init (int _flags, const void *_obj)"
calib3d,void
calib3d,"init (int _flags, const void *_obj, Size _sz)"
calib3d,Protected Attributes inherited from cv::_InputArray
calib3d,int
calib3d,flags
calib3d,void *
calib3d,obj
calib3d,Size
calib3d,sz
calib3d,Public Attributes
calib3d,Allocator *
calib3d,allocator
calib3d,allocator
calib3d,int
calib3d,cols
calib3d,uchar *
calib3d,data
calib3d,pointer to the data
calib3d,const uchar *
calib3d,dataend
calib3d,uchar *
calib3d,datastart
