Module,Text
calib3d,Functions
calib3d,double
calib3d,"cv::fisheye::calibrate (InputArrayOfArrays objectPoints, InputArrayOfArrays imagePoints, const Size &image_size, InputOutputArray K, InputOutputArray D, OutputArrayOfArrays rvecs, OutputArrayOfArrays tvecs, int flags=0, TermCriteria criteria=TermCriteria(TermCriteria::COUNT+TermCriteria::EPS, 100, DBL_EPSILON))"
calib3d,Performs camera calibration.
calib3d,double
calib3d,"cv::calibrateCamera (InputArrayOfArrays objectPoints, InputArrayOfArrays imagePoints, Size imageSize, InputOutputArray cameraMatrix, InputOutputArray distCoeffs, OutputArrayOfArrays rvecs, OutputArrayOfArrays tvecs, int flags=0, TermCriteria criteria=TermCriteria(TermCriteria::COUNT+TermCriteria::EPS, 30, DBL_EPSILON))"
calib3d,double
calib3d,"cv::calibrateCamera (InputArrayOfArrays objectPoints, InputArrayOfArrays imagePoints, Size imageSize, InputOutputArray cameraMatrix, InputOutputArray distCoeffs, OutputArrayOfArrays rvecs, OutputArrayOfArrays tvecs, OutputArray stdDeviationsIntrinsics, OutputArray stdDeviationsExtrinsics, OutputArray perViewErrors, int flags=0, TermCriteria criteria=TermCriteria(TermCriteria::COUNT+TermCriteria::EPS, 30, DBL_EPSILON))"
calib3d,Finds the camera intrinsic and extrinsic parameters from several views of a calibration pattern.
calib3d,double
calib3d,"cv::calibrateCameraRO (InputArrayOfArrays objectPoints, InputArrayOfArrays imagePoints, Size imageSize, int iFixedPoint, InputOutputArray cameraMatrix, InputOutputArray distCoeffs, OutputArrayOfArrays rvecs, OutputArrayOfArrays tvecs, OutputArray newObjPoints, int flags=0, TermCriteria criteria=TermCriteria(TermCriteria::COUNT+TermCriteria::EPS, 30, DBL_EPSILON))"
calib3d,double
calib3d,"cv::calibrateCameraRO (InputArrayOfArrays objectPoints, InputArrayOfArrays imagePoints, Size imageSize, int iFixedPoint, InputOutputArray cameraMatrix, InputOutputArray distCoeffs, OutputArrayOfArrays rvecs, OutputArrayOfArrays tvecs, OutputArray newObjPoints, OutputArray stdDeviationsIntrinsics, OutputArray stdDeviationsExtrinsics, OutputArray stdDeviationsObjPoints, OutputArray perViewErrors, int flags=0, TermCriteria criteria=TermCriteria(TermCriteria::COUNT+TermCriteria::EPS, 30, DBL_EPSILON))"
calib3d,Finds the camera intrinsic and extrinsic parameters from several views of a calibration pattern.
calib3d,void
calib3d,"cv::calibrateHandEye (InputArrayOfArrays R_gripper2base, InputArrayOfArrays t_gripper2base, InputArrayOfArrays R_target2cam, InputArrayOfArrays t_target2cam, OutputArray R_cam2gripper, OutputArray t_cam2gripper, HandEyeCalibrationMethod method=CALIB_HAND_EYE_TSAI)"
calib3d,Computes Hand-Eye calibration: \(_{}^{g}\textrm{T}_c\).
calib3d,void
calib3d,"cv::calibrateRobotWorldHandEye (InputArrayOfArrays R_world2cam, InputArrayOfArrays t_world2cam, InputArrayOfArrays R_base2gripper, InputArrayOfArrays t_base2gripper, OutputArray R_base2world, OutputArray t_base2world, OutputArray R_gripper2cam, OutputArray t_gripper2cam, RobotWorldHandEyeCalibrationMethod method=CALIB_ROBOT_WORLD_HAND_EYE_SHAH)"
calib3d,Computes Robot-World/Hand-Eye calibration: \(_{}^{w}\textrm{T}_b\) and \(_{}^{c}\textrm{T}_g\).
calib3d,void
calib3d,"cv::calibrationMatrixValues (InputArray cameraMatrix, Size imageSize, double apertureWidth, double apertureHeight, double &fovx, double &fovy, double &focalLength, Point2d &principalPoint, double &aspectRatio)"
calib3d,Computes useful camera characteristics from the camera intrinsic matrix.
calib3d,bool
calib3d,"cv::checkChessboard (InputArray img, Size size)"
calib3d,void
calib3d,"cv::composeRT (InputArray rvec1, InputArray tvec1, InputArray rvec2, InputArray tvec2, OutputArray rvec3, OutputArray tvec3, OutputArray dr3dr1=noArray(), OutputArray dr3dt1=noArray(), OutputArray dr3dr2=noArray(), OutputArray dr3dt2=noArray(), OutputArray dt3dr1=noArray(), OutputArray dt3dt1=noArray(), OutputArray dt3dr2=noArray(), OutputArray dt3dt2=noArray())"
calib3d,Combines two rotation-and-shift transformations.
calib3d,void
calib3d,"cv::computeCorrespondEpilines (InputArray points, int whichImage, InputArray F, OutputArray lines)"
calib3d,"For points in an image of a stereo pair, computes the corresponding epilines in the other image."
calib3d,void
calib3d,"cv::convertPointsFromHomogeneous (InputArray src, OutputArray dst)"
calib3d,Converts points from homogeneous to Euclidean space.
calib3d,void
calib3d,"cv::convertPointsHomogeneous (InputArray src, OutputArray dst)"
calib3d,Converts points to/from homogeneous coordinates.
calib3d,void
calib3d,"cv::convertPointsToHomogeneous (InputArray src, OutputArray dst)"
calib3d,Converts points from Euclidean to homogeneous space.
calib3d,void
calib3d,"cv::correctMatches (InputArray F, InputArray points1, InputArray points2, OutputArray newPoints1, OutputArray newPoints2)"
calib3d,Refines coordinates of corresponding points.
calib3d,void
calib3d,"cv::decomposeEssentialMat (InputArray E, OutputArray R1, OutputArray R2, OutputArray t)"
calib3d,Decompose an essential matrix to possible rotations and translation.
calib3d,int
calib3d,"cv::decomposeHomographyMat (InputArray H, InputArray K, OutputArrayOfArrays rotations, OutputArrayOfArrays translations, OutputArrayOfArrays normals)"
calib3d,"Decompose a homography matrix to rotation(s), translation(s) and plane normal(s)."
calib3d,void
calib3d,"cv::decomposeProjectionMatrix (InputArray projMatrix, OutputArray cameraMatrix, OutputArray rotMatrix, OutputArray transVect, OutputArray rotMatrixX=noArray(), OutputArray rotMatrixY=noArray(), OutputArray rotMatrixZ=noArray(), OutputArray eulerAngles=noArray())"
calib3d,Decomposes a projection matrix into a rotation matrix and a camera intrinsic matrix.
calib3d,void
calib3d,"cv::fisheye::distortPoints (InputArray undistorted, OutputArray distorted, InputArray K, InputArray D, double alpha=0)"
calib3d,Distorts 2D points using fisheye model.
calib3d,void
calib3d,"cv::fisheye::distortPoints (InputArray undistorted, OutputArray distorted, InputArray Kundistorted, InputArray K, InputArray D, double alpha=0)"
calib3d,void
calib3d,"cv::drawChessboardCorners (InputOutputArray image, Size patternSize, InputArray corners, bool patternWasFound)"
calib3d,Renders the detected chessboard corners.
calib3d,void
calib3d,"cv::drawFrameAxes (InputOutputArray image, InputArray cameraMatrix, InputArray distCoeffs, InputArray rvec, InputArray tvec, float length, int thickness=3)"
calib3d,Draw axes of the world/object coordinate system from pose estimation.
calib3d,cv::Mat
calib3d,"cv::estimateAffine2D (InputArray from, InputArray to, OutputArray inliers=noArray(), int method=RANSAC, double ransacReprojThreshold=3, size_t maxIters=2000, double confidence=0.99, size_t refineIters=10)"
calib3d,Computes an optimal affine transformation between two 2D point sets.
calib3d,cv::Mat
calib3d,"cv::estimateAffine2D (InputArray pts1, InputArray pts2, OutputArray inliers, const UsacParams &params)"
calib3d,cv::Mat
calib3d,"cv::estimateAffine3D (InputArray src, InputArray dst, double *scale=nullptr, bool force_rotation=true)"
calib3d,Computes an optimal affine transformation between two 3D point sets.
calib3d,int
calib3d,"cv::estimateAffine3D (InputArray src, InputArray dst, OutputArray out, OutputArray inliers, double ransacThreshold=3, double confidence=0.99)"
calib3d,Computes an optimal affine transformation between two 3D point sets.
calib3d,cv::Mat
calib3d,"cv::estimateAffinePartial2D (InputArray from, InputArray to, OutputArray inliers=noArray(), int method=RANSAC, double ransacReprojThreshold=3, size_t maxIters=2000, double confidence=0.99, size_t refineIters=10)"
calib3d,Computes an optimal limited affine transformation with 4 degrees of freedom between two 2D point sets.
calib3d,Scalar
calib3d,"cv::estimateChessboardSharpness (InputArray image, Size patternSize, InputArray corners, float rise_distance=0.8F, bool vertical=false, OutputArray sharpness=noArray())"
calib3d,Estimates the sharpness of a detected chessboard.
calib3d,void
calib3d,"cv::fisheye::estimateNewCameraMatrixForUndistortRectify (InputArray K, InputArray D, const Size &image_size, InputArray R, OutputArray P, double balance=0.0, const Size &new_size=Size(), double fov_scale=1.0)"
calib3d,Estimates new camera intrinsic matrix for undistortion or rectification.
calib3d,int
calib3d,"cv::estimateTranslation3D (InputArray src, InputArray dst, OutputArray out, OutputArray inliers, double ransacThreshold=3, double confidence=0.99)"
calib3d,Computes an optimal translation between two 3D point sets.
calib3d,void
calib3d,"cv::filterHomographyDecompByVisibleRefpoints (InputArrayOfArrays rotations, InputArrayOfArrays normals, InputArray beforePoints, InputArray afterPoints, OutputArray possibleSolutions, InputArray pointsMask=noArray())"
calib3d,Filters homography decompositions based on additional information.
calib3d,void
calib3d,"cv::filterSpeckles (InputOutputArray img, double newVal, int maxSpeckleSize, double maxDiff, InputOutputArray buf=noArray())"
calib3d,Filters off small noise blobs (speckles) in the disparity map.
calib3d,bool
calib3d,"cv::find4QuadCornerSubpix (InputArray img, InputOutputArray corners, Size region_size)"
calib3d,finds subpixel-accurate positions of the chessboard corners
calib3d,bool
calib3d,"cv::findChessboardCorners (InputArray image, Size patternSize, OutputArray corners, int flags=CALIB_CB_ADAPTIVE_THRESH+CALIB_CB_NORMALIZE_IMAGE)"
calib3d,Finds the positions of internal corners of the chessboard.
calib3d,bool
calib3d,"cv::findChessboardCornersSB (InputArray image, Size patternSize, OutputArray corners, int flags, OutputArray meta)"
calib3d,Finds the positions of internal corners of the chessboard using a sector based approach.
calib3d,bool
calib3d,"cv::findChessboardCornersSB (InputArray image, Size patternSize, OutputArray corners, int flags=0)"
calib3d,bool
calib3d,"cv::findCirclesGrid (InputArray image, Size patternSize, OutputArray centers, int flags, const Ptr< FeatureDetector > &blobDetector, const CirclesGridFinderParameters &parameters)"
