Module,Text
barrier,"A barrier can be viewed as a gate at which tasks wait until the gate is opened. This has many analogies in the real world.  Horses and other farm animals may approach a closed gate and gather in front of it, waiting for someone to open the gate so they may proceed.  Similarly, ticket holders gather at the gates of arenas before concerts or sporting events waiting for the arena personnel to open the gates so they may enter."
barrier,"Barriers are useful during application initialization.  Each application task can perform its local initialization before waiting for the application as a whole to be initialized.  Once all tasks have completed their independent initializations, the “application ready” barrier can be released."
barrier,"Just as with a real-world gate, barriers may be configured to be manually opened or automatically opened.  All tasks calling the rtems_barrier_wait directive will block until a controlling task invokes the rtems_barrier_release directive."
barrier,"Automatic barriers are created with a limit to the number of tasks which may simultaneously block at the barrier.  Once this limit is reached, all of the tasks are released.  For example, if the automatic limit is ten tasks, then the first nine tasks calling the rtems_barrier_wait directive will block.  When the tenth task calls the rtems_barrier_wait directive, the nine blocked tasks will be released and the tenth task returns to the caller without blocking."
barrier,"In general, an attribute set is built by a bitwise OR of the desired attribute components.  The following table lists the set of valid barrier attributes:"
barrier,automatically release the barrier when the configured number of tasks are blocked
barrier,only release the barrier when the application invokes the rtems_barrier_release directive.  (default)
barrier,Note
barrier,Barriers only support FIFO blocking order because all waiting tasks are released as a set.  Thus the released tasks will all become ready to execute at the same time and compete for the processor based upon their priority.
barrier,"Attribute values are specifically designed to be mutually exclusive, therefore bitwise OR and addition operations are equivalent as long as each attribute appears exactly once in the component list.  An attribute listed as a default is not required to appear in the attribute list, although it is a good programming practice to specify default attributes.  If all defaults are desired, the attribute RTEMS_DEFAULT_ATTRIBUTES should be specified on this call."
barrier,"This example demonstrates the attribute_set parameter needed to create a barrier with the automatic release policy.  The attribute_set parameter passed to the rtems_barrier_create directive will be RTEMS_BARRIER_AUTOMATIC_RELEASE.  In this case, the user must also specify the maximum_waiters parameter."
barrier,"© Copyright 1988, 2024 RTEMS Project and contributors."
barrier,"This section details the directives of the Barrier Manager. A subsection is dedicated to each of this manager’s directives and lists the calling sequence, parameters, description, return values, and notes of the directive."
barrier,Creates a barrier.
barrier,CALLING SEQUENCE:
barrier,PARAMETERS:
barrier,This parameter is the object name of the barrier.
barrier,This parameter is the attribute set of the barrier.
barrier,This parameter is the maximum count of waiters on an automatic release barrier.
barrier,"This parameter is the pointer to an rtems_id object.  When the directive call is successful, the identifier of the created barrier will be stored in this object."
barrier,DESCRIPTION:
barrier,This directive creates a barrier which resides on the local node.  The barrier has the user-defined object name specified in name and the initial count specified in attribute_set.  The assigned object identifier is returned in id.  This identifier is used to access the barrier with other barrier related directives.
barrier,"The attribute set specified in attribute_set is built through a bitwise or of the attribute constants described below.  Not all combinations of attributes are allowed.  Some attributes are mutually exclusive.  If mutually exclusive attributes are combined, the behaviour is undefined. Attributes not mentioned below are not evaluated by this directive and have no effect.  Default attributes can be selected by using the RTEMS_DEFAULT_ATTRIBUTES constant."
barrier,The barrier class is selected by the mutually exclusive RTEMS_BARRIER_MANUAL_RELEASE and RTEMS_BARRIER_AUTOMATIC_RELEASE attributes.
barrier,"The manual release class is the default and can be emphasized through use of the RTEMS_BARRIER_MANUAL_RELEASE attribute.  For this class, there is no limit on the number of tasks that will block at the barrier. Only when the rtems_barrier_release() directive is invoked, are the tasks waiting at the barrier unblocked. The automatic release class is selected by the RTEMS_BARRIER_AUTOMATIC_RELEASE attribute.  For this class, tasks calling the rtems_barrier_wait() directive will block until there are maximum_waiters minus one tasks waiting at the barrier.  When the maximum_waiters task invokes the rtems_barrier_wait() directive, the previous maximum_waiters - 1 tasks are automatically released and the caller returns."
barrier,"The manual release class is the default and can be emphasized through use of the RTEMS_BARRIER_MANUAL_RELEASE attribute.  For this class, there is no limit on the number of tasks that will block at the barrier. Only when the rtems_barrier_release() directive is invoked, are the tasks waiting at the barrier unblocked."
barrier,"The automatic release class is selected by the RTEMS_BARRIER_AUTOMATIC_RELEASE attribute.  For this class, tasks calling the rtems_barrier_wait() directive will block until there are maximum_waiters minus one tasks waiting at the barrier.  When the maximum_waiters task invokes the rtems_barrier_wait() directive, the previous maximum_waiters - 1 tasks are automatically released and the caller returns."
barrier,RETURN VALUES:
barrier,The requested operation was successful.
barrier,The name parameter was invalid.
barrier,The id parameter was NULL.
barrier,The maximum_waiters parameter was 0 for an automatic release barrier.
barrier,There was no inactive object available to create a barrier.  The number of barriers available to the application is configured through the CONFIGURE_MAXIMUM_BARRIERS application configuration option.
barrier,NOTES:
barrier,"For control and maintenance of the barrier, RTEMS allocates a BCB from the local BCB free pool and initializes it."
barrier,CONSTRAINTS:
barrier,The following constraints apply to this directive:
barrier,"The directive may be called from within device driver initialization context. The directive may be called from within task context. The directive may obtain and release the object allocator mutex.  This may cause the calling task to be preempted. The number of barriers available to the application is configured through the CONFIGURE_MAXIMUM_BARRIERS application configuration option. Where the object class corresponding to the directive is configured to use unlimited objects, the directive may allocate memory from the RTEMS Workspace."
barrier,The directive may be called from within device driver initialization context.
barrier,The directive may be called from within task context.
barrier,The directive may obtain and release the object allocator mutex.  This may cause the calling task to be preempted.
barrier,The number of barriers available to the application is configured through the CONFIGURE_MAXIMUM_BARRIERS application configuration option.
barrier,"Where the object class corresponding to the directive is configured to use unlimited objects, the directive may allocate memory from the RTEMS Workspace."
barrier,Identifies a barrier by the object name.
barrier,CALLING SEQUENCE:
barrier,PARAMETERS:
barrier,This parameter is the object name to look up.
barrier,"This parameter is the pointer to an rtems_id object.  When the directive call is successful, the object identifier of an object with the specified name will be stored in this object."
barrier,DESCRIPTION:
barrier,This directive obtains a barrier identifier associated with the barrier name specified in name.
barrier,RETURN VALUES:
barrier,The requested operation was successful.
barrier,The id parameter was NULL.
barrier,The name parameter was 0.
barrier,There was no object with the specified name on the local node.
barrier,NOTES:
barrier,"If the barrier name is not unique, then the barrier identifier will match the first barrier with that name in the search order.  However, this barrier identifier is not guaranteed to correspond to the desired barrier."
barrier,The objects are searched from lowest to the highest index.  Only the local node is searched.
barrier,The barrier identifier is used with other barrier related directives to access the barrier.
barrier,CONSTRAINTS:
barrier,The following constraints apply to this directive:
barrier,The directive may be called from within any runtime context. The directive will not cause the calling task to be preempted.
barrier,The directive may be called from within any runtime context.
barrier,The directive will not cause the calling task to be preempted.
barrier,Deletes the barrier.
barrier,CALLING SEQUENCE:
barrier,PARAMETERS:
barrier,This parameter is the barrier identifier.
barrier,DESCRIPTION:
barrier,This directive deletes the barrier specified by id.  All tasks blocked waiting for the barrier to be released will be readied and returned a status code which indicates that the barrier was deleted.
barrier,RETURN VALUES:
barrier,The requested operation was successful.
barrier,There was no barrier associated with the identifier specified by id.
barrier,NOTES:
barrier,The BCB for the deleted barrier is reclaimed by RTEMS.
barrier,CONSTRAINTS:
barrier,The following constraints apply to this directive:
barrier,"The directive may be called from within device driver initialization context. The directive may be called from within task context. The directive may obtain and release the object allocator mutex.  This may cause the calling task to be preempted. The calling task does not have to be the task that created the object.  Any local task that knows the object identifier can delete the object. Where the object class corresponding to the directive is configured to use unlimited objects, the directive may free memory to the RTEMS Workspace."
barrier,The directive may be called from within device driver initialization context.
barrier,The directive may be called from within task context.
barrier,The directive may obtain and release the object allocator mutex.  This may cause the calling task to be preempted.
barrier,The calling task does not have to be the task that created the object.  Any local task that knows the object identifier can delete the object.
barrier,"Where the object class corresponding to the directive is configured to use unlimited objects, the directive may free memory to the RTEMS Workspace."
barrier,Waits at the barrier.
barrier,CALLING SEQUENCE:
barrier,PARAMETERS:
barrier,This parameter is the barrier identifier.
barrier,This parameter is the timeout in clock ticks.  Use RTEMS_NO_TIMEOUT to wait potentially forever.
barrier,DESCRIPTION:
barrier,"This directive waits at the barrier specified by id.  The timeout parameter defines how long the calling task is willing to wait.  Use RTEMS_NO_TIMEOUT to wait potentially forever, otherwise set a timeout interval in clock ticks."
barrier,"Conceptually, the calling task should always be thought of as blocking when it makes this call and being unblocked when the barrier is released.  If the barrier is configured for manual release, this rule of thumb will always be valid.  If the barrier is configured for automatic release, all callers will block except for the one which trips the automatic release condition."
barrier,RETURN VALUES:
barrier,The requested operation was successful.
barrier,There was no barrier associated with the identifier specified by id.
barrier,The timeout happened while the calling task was waiting at the barrier.
barrier,The barrier was deleted while the calling task was waiting at the barrier.
barrier,NOTES:
barrier,"For automatic release barriers, the maximum count of waiting tasks is defined during barrier creation, see rtems_barrier_create()."
barrier,CONSTRAINTS:
barrier,The following constraints apply to this directive:
barrier,The directive may be called from within task context. The timeout functionality of the directive requires a clock tick.
barrier,The directive may be called from within task context.
barrier,The timeout functionality of the directive requires a clock tick.
barrier,Releases the barrier.
barrier,CALLING SEQUENCE:
barrier,PARAMETERS:
barrier,This parameter is the barrier identifier.
barrier,"This parameter is the pointer to an uint32_t object.  When the directive call is successful, the number of released tasks will be stored in this object."
barrier,DESCRIPTION:
barrier,This directive releases the barrier specified by id.  All tasks waiting at the barrier will be unblocked.  The number of released tasks will be returned in released.
barrier,RETURN VALUES:
barrier,The requested operation was successful.
barrier,The released parameter was NULL.
barrier,There was no barrier associated with the identifier specified by id.
barrier,CONSTRAINTS:
barrier,The following constraints apply to this directive:
barrier,The directive may be called from within interrupt context. The directive may be called from within task context. The directive may unblock a task.  This may cause the calling task to be preempted.
barrier,The directive may be called from within interrupt context.
barrier,The directive may be called from within task context.
barrier,The directive may unblock a task.  This may cause the calling task to be preempted.
barrier,"© Copyright 1988, 2024 RTEMS Project and contributors."
barrier,The Barrier Manager provides a unique synchronization capability which can be used to have a set of tasks block and be unblocked as a set. The directives provided by the Barrier Manager are:
barrier,rtems_barrier_create() - Creates a barrier. rtems_barrier_ident() - Identifies a barrier by the object name. rtems_barrier_delete() - Deletes the barrier. rtems_barrier_wait() - Waits at the barrier. rtems_barrier_release() - Releases the barrier.
barrier,rtems_barrier_create() - Creates a barrier.
barrier,rtems_barrier_ident() - Identifies a barrier by the object name.
barrier,rtems_barrier_delete() - Deletes the barrier.
barrier,rtems_barrier_wait() - Waits at the barrier.
barrier,rtems_barrier_release() - Releases the barrier.
barrier,"© Copyright 1988, 2024 RTEMS Project and contributors."
cache,"This section details the directives of the Cache Manager. A subsection is dedicated to each of this manager’s directives and lists the calling sequence, parameters, description, return values, and notes of the directive."
cache,Flushes the data cache lines covering the memory area.
cache,CALLING SEQUENCE:
cache,PARAMETERS:
cache,This parameter is the begin address of the memory area to flush.
cache,This parameter is the size in bytes of the memory area to flush.
cache,DESCRIPTION:
cache,Dirty data cache lines covering the area are transfered to memory.  Depending on the cache implementation this may mark the lines as invalid.
cache,CONSTRAINTS:
cache,The following constraints apply to this directive:
cache,The directive may be called from within any runtime context. The directive will not cause the calling task to be preempted.
cache,The directive may be called from within any runtime context.
cache,The directive will not cause the calling task to be preempted.
cache,Invalidates the data cache lines covering the memory area.
cache,CALLING SEQUENCE:
cache,PARAMETERS:
cache,This parameter is the begin address of the memory area to invalidate.
cache,This parameter is the size in bytes of the memory area to invalidate.
cache,DESCRIPTION:
cache,The cache lines covering the area are marked as invalid.  A later read access in the area will load the data from memory.
cache,NOTES:
cache,"In case the area is not aligned on cache line boundaries, then this operation may destroy unrelated data."
cache,"On some systems, the cache lines may be flushed before they are invalidated."
cache,CONSTRAINTS:
cache,The following constraints apply to this directive:
cache,The directive may be called from within any runtime context. The directive will not cause the calling task to be preempted.
cache,The directive may be called from within any runtime context.
cache,The directive will not cause the calling task to be preempted.
cache,Invalidates the instruction cache lines covering the memory area.
cache,CALLING SEQUENCE:
cache,PARAMETERS:
cache,This parameter is the begin address of the memory area to invalidate.
cache,This parameter is the size in bytes of the memory area to invalidate.
cache,DESCRIPTION:
cache,The cache lines covering the area are marked as invalid.  A later instruction fetch from the area will result in a load from memory.
cache,NOTES:
cache,"In SMP configurations, on processors without instruction cache snooping, this operation will invalidate the instruction cache lines on all processors."
cache,CONSTRAINTS:
cache,The following constraints apply to this directive:
cache,The directive may be called from within any runtime context. The directive will not cause the calling task to be preempted.
cache,The directive may be called from within any runtime context.
cache,The directive will not cause the calling task to be preempted.
cache,Ensures necessary synchronization required after code changes.
cache,CALLING SEQUENCE:
cache,PARAMETERS:
cache,This parameter is the begin address of the code area to synchronize.
cache,This parameter is the size in bytes of the code area to synchronize.
cache,NOTES:
cache,"When code is loaded or modified, then most systems require synchronization instructions to update the instruction caches so that the loaded or modified code is fetched.  For example, systems with separate data and instruction caches or systems without instruction cache snooping.  The directives should be used by run time loader for example."
cache,CONSTRAINTS:
cache,The following constraints apply to this directive:
cache,The directive may be called from within any runtime context. The directive will not cause the calling task to be preempted.
cache,The directive may be called from within any runtime context.
cache,The directive will not cause the calling task to be preempted.
cache,"Gets the maximal cache line size in bytes of all caches (data, instruction, or unified)."
cache,CALLING SEQUENCE:
cache,RETURN VALUES:
cache,There is no cache present.
cache,"Returns the maximal cache line size in bytes of all caches (data, instruction, or unified)."
cache,CONSTRAINTS:
cache,The following constraints apply to this directive:
cache,The directive may be called from within any runtime context. The directive will not cause the calling task to be preempted.
cache,The directive may be called from within any runtime context.
cache,The directive will not cause the calling task to be preempted.
cache,Gets the data cache line size in bytes.
cache,CALLING SEQUENCE:
cache,RETURN VALUES:
cache,There is no data cache present.
cache,Returns the data cache line size in bytes.  For multi-level caches this is the maximum of the cache line sizes of all levels.
cache,CONSTRAINTS:
cache,The following constraints apply to this directive:
cache,The directive may be called from within any runtime context. The directive will not cause the calling task to be preempted.
cache,The directive may be called from within any runtime context.
cache,The directive will not cause the calling task to be preempted.
cache,Gets the instruction cache line size in bytes.
cache,CALLING SEQUENCE:
cache,RETURN VALUES:
cache,There is no instruction cache present.
cache,Returns the instruction cache line size in bytes.  For multi-level caches this is the maximum of the cache line sizes of all levels.
cache,CONSTRAINTS:
cache,The following constraints apply to this directive:
cache,The directive may be called from within any runtime context. The directive will not cause the calling task to be preempted.
cache,The directive may be called from within any runtime context.
cache,The directive will not cause the calling task to be preempted.
cache,Gets the data cache size in bytes for the cache level.
cache,CALLING SEQUENCE:
cache,PARAMETERS:
cache,This parameter is the requested data cache level.  The cache level zero specifies the entire data cache.
cache,RETURN VALUES:
cache,There is no data cache present at the requested cache level.
cache,Returns the data cache size in bytes of the requested cache level.
cache,CONSTRAINTS:
cache,The following constraints apply to this directive:
cache,The directive may be called from within any runtime context. The directive will not cause the calling task to be preempted.
cache,The directive may be called from within any runtime context.
cache,The directive will not cause the calling task to be preempted.
cache,Gets the instruction cache size in bytes for the cache level.
cache,CALLING SEQUENCE:
cache,PARAMETERS:
cache,This parameter is the requested instruction cache level.  The cache level zero specifies the entire instruction cache.
cache,RETURN VALUES:
cache,There is no instruction cache present at the requested cache level.
cache,Returns the instruction cache size in bytes of the requested cache level.
cache,CONSTRAINTS:
cache,The following constraints apply to this directive:
cache,The directive may be called from within any runtime context. The directive will not cause the calling task to be preempted.
cache,The directive may be called from within any runtime context.
cache,The directive will not cause the calling task to be preempted.
cache,Flushes the entire data cache.
cache,CALLING SEQUENCE:
cache,CONSTRAINTS:
cache,The following constraints apply to this directive:
cache,The directive may be called from within any runtime context. The directive will not cause the calling task to be preempted.
cache,The directive may be called from within any runtime context.
cache,The directive will not cause the calling task to be preempted.
cache,Invalidates the entire data cache.
cache,CALLING SEQUENCE:
cache,CONSTRAINTS:
cache,The following constraints apply to this directive:
cache,The directive may be called from within any runtime context. The directive will not cause the calling task to be preempted.
cache,The directive may be called from within any runtime context.
cache,The directive will not cause the calling task to be preempted.
cache,Invalidates the entire instruction cache.
cache,CALLING SEQUENCE:
cache,CONSTRAINTS:
cache,The following constraints apply to this directive:
cache,The directive may be called from within any runtime context. The directive will not cause the calling task to be preempted.
cache,The directive may be called from within any runtime context.
cache,The directive will not cause the calling task to be preempted.
cache,Enables the data cache.
cache,CALLING SEQUENCE:
cache,CONSTRAINTS:
cache,The following constraints apply to this directive:
cache,The directive may be called from within any runtime context. The directive will not cause the calling task to be preempted.
cache,The directive may be called from within any runtime context.
cache,The directive will not cause the calling task to be preempted.
cache,Disables the data cache.
cache,CALLING SEQUENCE:
cache,NOTES:
cache,"On some targets or configurations, calling this directive may cause a fatal error with a fatal source of INTERNAL_ERROR_CORE and fatal code of INTERNAL_ERROR_CANNOT_DISABLE_DATA_CACHE.   The data cache may be necessary to provide atomic operations. In SMP configurations, the data cache may be required to ensure data coherency.  See the BSP documentation in the RTEMS User Manual for more information."
cache,CONSTRAINTS:
cache,The following constraints apply to this directive:
cache,The directive may be called from within any runtime context. The directive will not cause the calling task to be preempted.
