Module,Text
barrier,A barrier can be viewed as a gate at which tasks wait until the gate is opened.
barrier,This has many analogies in the real world.  Horses and other farm animals may
barrier,"approach a closed gate and gather in front of it, waiting for someone to open"
barrier,"the gate so they may proceed.  Similarly, ticket holders gather at the gates of"
barrier,arenas before concerts or sporting events waiting for the arena personnel to
barrier,open the gates so they may enter.
barrier,Barriers are useful during application initialization.  Each application task
barrier,can perform its local initialization before waiting for the application as a
barrier,whole to be initialized.  Once all tasks have completed their independent
barrier,"initializations, the “application ready” barrier can be released."
barrier,"Just as with a real-world gate, barriers may be configured to be manually"
barrier,opened or automatically opened.  All tasks calling the rtems_barrier_wait
barrier,directive will block until a controlling task invokes
barrier,the rtems_barrier_release directive.
barrier,Automatic barriers are created with a limit to the number of tasks which may
barrier,"simultaneously block at the barrier.  Once this limit is reached, all of the"
barrier,"tasks are released.  For example, if the automatic limit is ten tasks, then the"
barrier,first nine tasks calling the rtems_barrier_wait directive will block.  When
barrier,"the tenth task calls the rtems_barrier_wait directive, the nine blocked"
barrier,tasks will be released and the tenth task returns to the caller without
barrier,blocking.
barrier,"In general, an attribute set is built by a bitwise OR of the desired attribute"
barrier,components.  The following table lists the set of valid barrier attributes:
barrier,automatically release the barrier when the configured number of tasks are
barrier,blocked
barrier,only release the barrier when the application invokes the
barrier,rtems_barrier_release directive.  (default)
barrier,Note
barrier,Barriers only support FIFO blocking order because all waiting tasks are
barrier,released as a set.  Thus the released tasks will all become ready to execute
barrier,at the same time and compete for the processor based upon their priority.
barrier,"Attribute values are specifically designed to be mutually exclusive, therefore"
barrier,bitwise OR and addition operations are equivalent as long as each attribute
barrier,appears exactly once in the component list.  An attribute listed as a default
barrier,"is not required to appear in the attribute list, although it is a good"
barrier,programming practice to specify default attributes.  If all defaults are
barrier,"desired, the attribute RTEMS_DEFAULT_ATTRIBUTES should be specified on this"
barrier,call.
barrier,This example demonstrates the attribute_set parameter needed to create a
barrier,barrier with the automatic release policy.  The attribute_set parameter
barrier,passed to the rtems_barrier_create directive will be
barrier,"RTEMS_BARRIER_AUTOMATIC_RELEASE.  In this case, the user must also specify"
barrier,the maximum_waiters parameter.
barrier,"© Copyright 1988, 2024 RTEMS Project and contributors."
barrier,The Barrier Manager provides a unique synchronization capability which can be
barrier,used to have a set of tasks block and be unblocked as a set. The directives
barrier,provided by the Barrier Manager are:
barrier,rtems_barrier_create() - Creates a barrier.
barrier,rtems_barrier_ident() - Identifies a barrier by the object name.
barrier,rtems_barrier_delete() - Deletes the barrier.
barrier,rtems_barrier_wait() - Waits at the barrier.
barrier,rtems_barrier_release() - Releases the barrier.
barrier,rtems_barrier_create() - Creates a barrier.
barrier,rtems_barrier_ident() - Identifies a barrier by the object name.
barrier,rtems_barrier_delete() - Deletes the barrier.
barrier,rtems_barrier_wait() - Waits at the barrier.
barrier,rtems_barrier_release() - Releases the barrier.
barrier,"© Copyright 1988, 2024 RTEMS Project and contributors."
cache,The Cache Manager provides functions to perform maintenance operations for data
cache,and instruction caches.
cache,The actual actions of the Cache Manager operations depend on the hardware and
cache,the implementation provided by the CPU architecture port or a board support
cache,package.  Cache implementations tend to be highly hardware dependent. The
cache,directives provided by the Cache Manager are:
cache,rtems_cache_flush_multiple_data_lines() - Flushes the data cache
cache,lines covering the memory area.
cache,rtems_cache_invalidate_multiple_data_lines() - Invalidates the data
cache,cache lines covering the memory area.
cache,rtems_cache_invalidate_multiple_instruction_lines() - Invalidates
cache,the instruction cache lines covering the memory area.
cache,rtems_cache_instruction_sync_after_code_change() - Ensures necessary
cache,synchronization required after code changes.
cache,rtems_cache_get_maximal_line_size() - Gets the maximal cache line
cache,"size in bytes of all caches (data, instruction, or unified)."
cache,rtems_cache_get_data_line_size() - Gets the data cache line size in
cache,bytes.
cache,rtems_cache_get_instruction_line_size() - Gets the instruction cache
cache,line size in bytes.
cache,rtems_cache_get_data_cache_size() - Gets the data cache size in
cache,bytes for the cache level.
cache,rtems_cache_get_instruction_cache_size() - Gets the instruction
cache,cache size in bytes for the cache level.
cache,rtems_cache_flush_entire_data() - Flushes the entire data cache.
cache,rtems_cache_invalidate_entire_data() - Invalidates the entire data
cache,cache.
cache,rtems_cache_invalidate_entire_instruction() - Invalidates the
cache,entire instruction cache.
cache,rtems_cache_enable_data() - Enables the data cache.
cache,rtems_cache_disable_data() - Disables the data cache.
cache,rtems_cache_enable_instruction() - Enables the instruction cache.
cache,rtems_cache_disable_instruction() - Disables the instruction
cache,cache.
cache,rtems_cache_aligned_malloc() - Allocates memory from the C Program
cache,Heap which begins at a cache line boundary.
cache,rtems_cache_flush_multiple_data_lines() - Flushes the data cache
cache,lines covering the memory area.
cache,rtems_cache_invalidate_multiple_data_lines() - Invalidates the data
cache,cache lines covering the memory area.
cache,rtems_cache_invalidate_multiple_instruction_lines() - Invalidates
cache,the instruction cache lines covering the memory area.
cache,rtems_cache_instruction_sync_after_code_change() - Ensures necessary
cache,synchronization required after code changes.
cache,rtems_cache_get_maximal_line_size() - Gets the maximal cache line
cache,"size in bytes of all caches (data, instruction, or unified)."
cache,rtems_cache_get_data_line_size() - Gets the data cache line size in
cache,bytes.
cache,rtems_cache_get_instruction_line_size() - Gets the instruction cache
cache,line size in bytes.
cache,rtems_cache_get_data_cache_size() - Gets the data cache size in
cache,bytes for the cache level.
cache,rtems_cache_get_instruction_cache_size() - Gets the instruction
cache,cache size in bytes for the cache level.
cache,rtems_cache_flush_entire_data() - Flushes the entire data cache.
cache,rtems_cache_invalidate_entire_data() - Invalidates the entire data
cache,cache.
cache,rtems_cache_invalidate_entire_instruction() - Invalidates the
cache,entire instruction cache.
cache,rtems_cache_enable_data() - Enables the data cache.
cache,rtems_cache_disable_data() - Disables the data cache.
cache,rtems_cache_enable_instruction() - Enables the instruction cache.
