Module,Text
client,Closes any resources created by this instance
client,Getter method for the CoreContainer
client,"request(org.apache.solr.client.solrj.SolrRequest<?>request, StringcoreName)"
client,"Methods inherited from classorg.apache.solr.client.solrj.SolrClient add, add, add, add, add, add, add, add, add, add, addBean, addBean, addBean, addBean, addBeans, addBeans, addBeans, addBeans, addBeans, addBeans, commit, commit, commit, commit, commit, commit, deleteById, deleteById, deleteById, deleteById, deleteById, deleteById, deleteById, deleteById, deleteByQuery, deleteByQuery, deleteByQuery, deleteByQuery, getBinder, getById, getById, getById, getById, getById, getById, getById, getById, getContext, getDefaultCollection, optimize, optimize, optimize, optimize, optimize, optimize, ping, ping, query, query, query, query, queryAndStreamResponse, queryAndStreamResponse, queryAndStreamResponse, request, rollback, rollback"
client,static EmbeddedSolrServer.RequestWriterSupplier
client,Returns the enum constant of this type with the specified name.
client,static EmbeddedSolrServer.RequestWriterSupplier[]
client,"Returns an array containing the constants of this enum type, in the order they are declared."
client,"Methods inherited from classjava.lang.Enum clone, compareTo, equals, finalize, getDeclaringClass, hashCode, name, ordinal, toString, valueOf"
cloud,"Methods inherited from classjava.lang.Object clone, equals, finalize, getClass, hashCode, notify, notifyAll, toString, wait, wait, wait"
cloud,Return the list of active replicas found so far.
cloud,Collection name.
cloud,Return the list of replica id-s that are not active yet (or unverified).
cloud,Return a list of SolrCore names that are not active yet (or unverified).
cloud,"onStateChanged(Set<String>liveNodes, org.apache.solr.common.cloud.DocCollectioncollectionState)"
cloud,"Methods inherited from classjava.lang.Object clone, equals, finalize, getClass, hashCode, notify, notifyAll, wait, wait, wait"
cloud,Optional parameters that can change how a core is created.
cloud,"Methods inherited from classjava.lang.Object clone, equals, finalize, getClass, hashCode, notify, notifyAll, toString, wait, wait, wait"
cloud,"checkSharedFSFailoverReplaced(CoreContainercc, CoreDescriptordesc)"
cloud,See if coreNodeName has been taken over by another baseUrl and unload core + throw exception if it has been.
cloud,"getTrustedKeys(org.apache.solr.common.cloud.SolrZkClientzk, Stringdir)"
cloud,Read the list of public keys from ZK
cloud,"replicaExists(org.apache.solr.common.cloud.ClusterStateclusterState, Stringcollection, Stringshard, StringcoreNodeName)"
cloud,Returns a displayable unified path to the given resource.
cloud,"Methods inherited from classjava.lang.Object clone, equals, finalize, getClass, hashCode, notify, notifyAll, toString, wait, wait, wait"
cloud,Unique name of this singleton.
cloud,Returns the current state of the component.
cloud,Start the operation of the component.
cloud,Stop the operation of the component.
