Module,Text
client,Class Summary Class Description EmbeddedSolrServer SolrClient that connects directly to a CoreContainer.
client,Enum Summary Enum Description EmbeddedSolrServer.RequestWriterSupplier
client,SolrClient that connects directly to a CoreContainer.
cloud,Interface Summary Interface Description ClusterSingleton Intended for components that should be enabled only one instance per cluster. DistributedCollectionLockFactory DistributedConfigSetLockFactory DistributedLock A lock that can be used across cluster nodes. Overseer.Message OverseerMessageHandler Interface for processing messages received by an OverseerTaskProcessor OverseerMessageHandler.Lock OverseerTaskProcessor.OverseerMessageHandlerSelector An interface to determine which OverseerMessageHandler handles a given message. RecoveryStrategy.RecoveryListener
cloud,"Class Summary Class Description ActionThrottle ActiveReplicaWatcher Watch for replicas to become Replica.State.ACTIVE. CloudDescriptor SolrCloud metadata attached to a CoreDescriptor. CloudUtil ConfigSetApiLockFactory This class implements a higher level locking abstraction for the Config Set API using lower level read and write locks. ConfigSetCmds This class contains methods dealing with Config Sets and called for Config Set API execution, called from the OverseerConfigSetMessageHandler or from DistributedCollectionConfigSetCommandRunner.runConfigSetCommand(org.apache.solr.response.SolrQueryResponse, org.apache.solr.common.params.ConfigSetParams.ConfigSetAction, java.util.Map<java.lang.String, java.lang.Object>, long) depending on whether Collection and Config Set APIs are Overseer based or distributed. DistributedApiAsyncTracker Class holding the implementation required for tracking asynchronous Collection API (or other) tasks when the Collection API is distributed. DistributedClusterStateUpdater Gives access to distributed cluster state update methods and allows code to inquire whether distributed state update is enabled. DistributedClusterStateUpdater.StateChangeRecorder Class handling the distributed updates of collection's Zookeeper files state.json based on multiple updates applied to a single collection (as is sometimes done by *Cmd classes implementing the Collection API commands). DistributedMap A distributed map. DistributedMultiLock A lock as acquired for running a single API command (Collection or Config Set or anything else in the future). ElectionContext LeaderElector Leader Election process. LockTree This is a utility class that offers fine grained locking for various Collection Operations This class is designed for single threaded operation. Overseer Cluster leader. Overseer.OverseerThread OverseerCollectionConfigSetProcessor An OverseerTaskProcessor that handles: 1) collection-related Overseer messages 2) configset-related Overseer messages OverseerConfigSetMessageHandler A OverseerMessageHandler that handles ConfigSets API related overseer messages. OverseerNodePrioritizer Responsible for prioritization of Overseer nodes, for example with the ADDROLE collection command. OverseerSolrResponse OverseerSolrResponseSerializer OverseerTaskProcessor A generic processor run in the Overseer, used for handling items added to a distributed work queue. OverseerTaskQueue A ZkDistributedQueue augmented with helper methods specific to the overseer task queues. OverseerTaskQueue.QueueEvent RecoveringCoreTermWatcher Start recovery of a core if its term is less than leader's term RecoveryStrategy This class may change in future and customisations are not supported between versions in terms of API or back compat behaviour. RecoveryStrategy.Builder RefreshCollectionMessage Refresh the ClusterState for a given collection. ReplicateFromLeader SizeLimitedDistributedMap A size limited distributed map maintained in zk. SolrZkServer Stats Used to hold statistics about some SolrCloud operations. Stats.FailedOp Stats.Stat SyncStrategy ZkCLI ZkConfigSetService SolrCloud Zookeeper ConfigSetService impl. ZkController Handle ZooKeeper interactions. ZkDistributedCollectionLockFactory A distributed lock implementation using Zookeeper ""directory"" nodes created within a collection znode hierarchy, for use with the distributed Collection API implementation. ZkDistributedConfigSetLockFactory A distributed lock implementation using Zookeeper ""directory"" nodes created within a collection znode hierarchy, for use with the distributed Collection API implementation. ZkDistributedQueue A ZK-based distributed queue. ZkShardTerms Class used for interact with a ZK term node. ZkSolrResourceLoader ResourceLoader that works with ZooKeeper. ZkSolrResourceLoader.ZkByteArrayInputStream"
cloud,Enum Summary Enum Description ClusterSingleton.State DistributedClusterStateUpdater.MutatingCommand Naming of enum instances are the mutator object name (e.g.
cloud,Exception Summary Exception Description ZkController.NotInClusterStateException Thrown during pre register process if the replica is not present in clusterstate ZkController.ResourceModifiedInZkException
cloud,Watch for replicas to become Replica.State.ACTIVE.
cloud,SolrCloud metadata attached to a CoreDescriptor.
cloud,This class implements a higher level locking abstraction for the Config Set API using lower level read and write locks.
cloud,"This class contains methods dealing with Config Sets and called for Config Set API execution, called from the OverseerConfigSetMessageHandler or from DistributedCollectionConfigSetCommandRunner.runConfigSetCommand(org.apache.solr.response.SolrQueryResponse, org.apache.solr.common.params.ConfigSetParams.ConfigSetAction, java.util.Map<java.lang.String, java.lang.Object>, long) depending on whether Collection and Config Set APIs are Overseer based or distributed."
cloud,Class holding the implementation required for tracking asynchronous Collection API (or other) tasks when the Collection API is distributed.
cloud,Gives access to distributed cluster state update methods and allows code to inquire whether distributed state update is enabled.
cloud,Class handling the distributed updates of collection's Zookeeper files state.json based on multiple updates applied to a single collection (as is sometimes done by *Cmd classes implementing the Collection API commands).
cloud,A distributed map.
cloud,A lock as acquired for running a single API command (Collection or Config Set or anything else in the future).
cloud,Leader Election process.
cloud,This is a utility class that offers fine grained locking for various Collection Operations This class is designed for single threaded operation.
cloud,Cluster leader.
cloud,An OverseerTaskProcessor that handles: 1) collection-related Overseer messages 2) configset-related Overseer messages
cloud,A OverseerMessageHandler that handles ConfigSets API related overseer messages.
cloud,"Responsible for prioritization of Overseer nodes, for example with the ADDROLE collection command."
cloud,"A generic processor run in the Overseer, used for handling items added to a distributed work queue."
cloud,A ZkDistributedQueue augmented with helper methods specific to the overseer task queues.
cloud,Start recovery of a core if its term is less than leader's term
cloud,This class may change in future and customisations are not supported between versions in terms of API or back compat behaviour.
cloud,Refresh the ClusterState for a given collection.
cloud,A size limited distributed map maintained in zk.
cloud,Used to hold statistics about some SolrCloud operations.
cloud,SolrCloud Zookeeper ConfigSetService impl.
cloud,Handle ZooKeeper interactions.
cloud,"A distributed lock implementation using Zookeeper ""directory"" nodes created within a collection znode hierarchy, for use with the distributed Collection API implementation."
cloud,"A distributed lock implementation using Zookeeper ""directory"" nodes created within a collection znode hierarchy, for use with the distributed Collection API implementation."
cloud,A ZK-based distributed queue.
cloud,Class used for interact with a ZK term node.
cloud,ResourceLoader that works with ZooKeeper.
cloud,"Interface Summary Interface Description Assign.AssignStrategy Strategy for assigning replicas to nodes. CollApiCmds.CollectionApiCommand Interface implemented by all Collection API commands. CollectionCommandContext Data passed to Collection API command execution, to allow calls from either the OverseerCollectionMessageHandler when commands are executed on the Overseer, or - in a future change - allow Collection API commands to be executed in a distributed way, unrelated to and not depending upon Overseer abstractions (including overseer collection message handling)."
cloud,"Class Summary Class Description AddReplicaCmd AddReplicaCmd.CreateReplica A data structure to keep all information required to create a new replica in one place. Assign Assign.AssignRequest Assign.AssignRequestBuilder BackupCmd BalanceReplicasCmd CategoryRoutedAlias CollApiCmds This class contains ""smaller"" Collection API commands implementation, the interface implemented by all commands and the class mapping a collection action to the actual command. CollApiCmds.AddReplicaPropCmd CollApiCmds.BalanceShardsUniqueCmd CollApiCmds.CommandMap Map CollectionParams.CollectionAction to instances of CollApiCmds.CollectionApiCommand and being usable by both OverseerCollectionMessageHandler and DistributedCollectionConfigSetCommandRunner so that the mappings do not have to be maintained in two places. CollApiCmds.DeleteReplicaPropCmd CollApiCmds.MockOperationCmd CollApiCmds.ModifyCollectionCmd CollApiCmds.RebalanceLeadersCmd CollApiCmds.ReloadCollectionCmd CollApiCmds.TraceAwareCommand CollectionApiLockFactory This class implements a higher level locking abstraction for the Collection API using lower level read and write locks. CollectionHandlingUtils This class contains helper methods used by commands of the Collection API. CollectionHandlingUtils.ShardRequestTracker CreateAliasCmd CreateCollectionCmd CreateShardCmd CreateSnapshotCmd This class implements the functionality of creating a collection level snapshot. DeleteAliasCmd DeleteBackupCmd An overseer command used to delete files associated with incremental backups. DeleteCollectionCmd DeleteNodeCmd DeleteReplicaCmd DeleteShardCmd DeleteSnapshotCmd This class implements the functionality of deleting a collection level snapshot. DimensionalRoutedAlias DistributedCollectionCommandContext DistributedCollectionConfigSetCommandRunner Class for execution Collection API and Config Set API commands in a distributed way, without going through Overseer and OverseerCollectionMessageHandler or OverseerConfigSetMessageHandler. InstallShardDataCmd Overseer processing for the ""install shard data"" API. InstallShardDataCmd.RemoteMessage A value-type representing the message received by InstallShardDataCmd LeaderRecoveryWatcher We use this watcher to wait for any eligible replica in a shard to become active so that it can become a leader. MaintainRoutedAliasCmd MigrateCmd MigrateReplicasCmd MoveReplicaCmd OcmhCollectionCommandContext Context passed to Collection API commands when they execute in the Overseer. OverseerCollectionMessageHandler A OverseerMessageHandler that handles Collections API related overseer messages. OverseerRoleCmd OverseerStatusCmd This command returns stats about the Overseer, the cluster state updater and collection API activity occurring within the current Overseer node (this is important because distributed operations occurring on other nodes are not included in these stats, for example distributed cluster state updates or Per Replica States updates). ReindexCollectionCmd Reindex a collection, usually in order to change the index schema. RenameCmd ReplaceNodeCmd ReplicaMigrationUtils RestoreCmd RoutedAlias RoutedAlias.Action SetAliasPropCmd SplitShardCmd SolrCloud logic for splitting a shard. TimeRoutedAlias Holds configuration for a routed alias, and some common code and constants."
cloud,Enum Summary Enum Description ReindexCollectionCmd.Cmd ReindexCollectionCmd.State
cloud,Exception Summary Exception Description Assign.AssignmentException Thrown if there is an exception while assigning nodes for replicas
cloud,A data structure to keep all information required to create a new replica in one place.
cloud,"This class contains ""smaller"" Collection API commands implementation, the interface implemented by all commands and the class mapping a collection action to the actual command."
cloud,Map CollectionParams.CollectionAction to instances of CollApiCmds.CollectionApiCommand and being usable by both OverseerCollectionMessageHandler and DistributedCollectionConfigSetCommandRunner so that the mappings do not have to be maintained in two places.
cloud,This class implements a higher level locking abstraction for the Collection API using lower level read and write locks.
cloud,This class contains helper methods used by commands of the Collection API.
cloud,This class implements the functionality of creating a collection level snapshot.
cloud,An overseer command used to delete files associated with incremental backups.
cloud,This class implements the functionality of deleting a collection level snapshot.
cloud,"Class for execution Collection API and Config Set API commands in a distributed way, without going through Overseer and OverseerCollectionMessageHandler or OverseerConfigSetMessageHandler."
cloud,"Overseer processing for the ""install shard data"" API."
cloud,A value-type representing the message received by InstallShardDataCmd
cloud,We use this watcher to wait for any eligible replica in a shard to become active so that it can become a leader.
cloud,Context passed to Collection API commands when they execute in the Overseer.
cloud,A OverseerMessageHandler that handles Collections API related overseer messages.
cloud,"This command returns stats about the Overseer, the cluster state updater and collection API activity occurring within the current Overseer node (this is important because distributed operations occurring on other nodes are not included in these stats, for example distributed cluster state updates or Per Replica States updates)."
cloud,"Reindex a collection, usually in order to change the index schema."
cloud,SolrCloud logic for splitting a shard.
cloud,"Holds configuration for a routed alias, and some common code and constants."
cloud,Interface Summary Interface Description ZkStateWriter.ZkWriteCallback
cloud,Class Summary Class Description ClusterStateMutator CollectionMutator NodeMutator ReplicaMutator SliceMutator ZkStateWriter ZkStateWriter is responsible for writing updates to the cluster state stored in ZooKeeper for collections each of which gets their own individual state.json in ZK. ZkWriteCommand
cloud,Enum Summary Enum Description OverseerAction Enum of actions supported by the overseer only.
cloud,ZkStateWriter is responsible for writing updates to the cluster state stored in ZooKeeper for collections each of which gets their own individual state.json in ZK.
cluster,Interface Summary Interface Description ClusterEvent Cluster-level event. ClusterEventListener Components that want to be notified of cluster-wide events should use this. ClusterEventProducer Component that produces ClusterEvent instances. ClusterPropertiesChangedEvent Event generated when ZkStateReader.CLUSTER_PROPS is modified. CollectionsAddedEvent Event generated when some collections have been added. CollectionsRemovedEvent Event generated when some collections have been removed. NodesDownEvent Event generated when some nodes went down. NodesUpEvent Event generated when some nodes went up.
cluster,Class Summary Class Description ClusterEventProducerBase Base class for implementing ClusterEventProducer. NoOpProducer No-op implementation of ClusterEventProducer.
cluster,Enum Summary Enum Description ClusterEvent.EventType
cluster,Base class for implementing ClusterEventProducer.
cluster,No-op implementation of ClusterEventProducer.
cluster,"Class Summary Class Description ClusterEventProducerFactory This class helps in handling the initial registration of plugin-based listeners, when both the final ClusterEventProducer implementation and listeners are configured using plugins. CollectionsRepairEventListener This is an illustration how to re-implement the combination of Solr 8x NodeLostTrigger and AutoAddReplicasPlanAction to maintain the collection's replicas when nodes are lost. DefaultClusterEventProducer Implementation of ClusterEventProducer. DelegatingClusterEventProducer This implementation allows Solr to dynamically change the underlying implementation of ClusterEventProducer in response to the changed plugin configuration."
cluster,"This class helps in handling the initial registration of plugin-based listeners, when both the final ClusterEventProducer implementation and listeners are configured using plugins."
cluster,This is an illustration how to re-implement the combination of Solr 8x NodeLostTrigger and AutoAddReplicasPlanAction to maintain the collection's replicas when nodes are lost.
cluster,Implementation of ClusterEventProducer.
cluster,This implementation allows Solr to dynamically change the underlying implementation of ClusterEventProducer in response to the changed plugin configuration.
cluster,Class Summary Class Description InactiveShardRemover This Cluster Singleton can be configured to periodically find and remove Slice.State.INACTIVE Shards that are left behind after a Shard is split InactiveShardRemoverConfig
