Module,Text
client,Enables access to any datastore (local/production).
client,Base script to be used as a template for all data migration scripts.
client,Supports full scan of entities without OutOfMemoryError. Supports automatic continuation from the last failure point (Checkpoint feature). Supports transaction between isMigrationNeeded(BaseEntity) and migrateEntity(BaseEntity). Supports batch saving if transaction is not used.
client,<E> The datastore entity type to be migrated by the script. <T> The SQL entity type to be migrated by the script.
client,Data migration class for account and read notifications.
client,Data migration class for account request entity.
client,Data migration class for notification entity.
client,Data migration class for usage statistics.
client,Index the newly-indexable fields of courses.
client,Migrate non course entities.
client,SeedDB class.
client,Seeds the usage statistics table with dummy data.
client,Class for verifying account attributes.
client,Class for verifying account request attributes.
client,Verification of the data migration connection.
client,Verify non course entities.
client,Protected methods may be overriden.
client,<E> Datastore entity <T> SQL entity
client,Verify the counts of non-course entities are correct.
client,Class for verifying notification attributes.
client,Class for verifying usage statistics.
client,An iterator that iterates all the matched entities for a Datastore query with batch fetching enabled.
client,<T> the type of entity to iterate
client,File storage service that saves stats/cache to encrypted/unencrypted files.
client,A bundle that consists of the usages of the application for each institute.
client,Script that calculates the number of unique students and instructors per institute.
client,"Class to create JSON test data in SQL format from a noSQL JSON file. File can be run using the gradle execScript task and accepts a single argument which is the JSON path ./gradlew execScript -PuserScript=""testdataconversion/ConvertDatastoreJsonToSqlJson"" args=""JSON_FILE_PATH_HERE"""
client,Helper class to convert entities from its noSQL to SQL format.
client,Generator that counts up to generate an ID for an entity.
client,Regenerates all JSON data files used for different purposes.
client,Base script to be used as a template for all data migration scripts.
client,Supports full scan of entities without OutOfMemoryError. Supports automatic continuation from the last failure point (Checkpoint feature). Supports transaction between isMigrationNeeded(BaseEntity) and migrateEntity(BaseEntity). Supports batch saving if transaction is not used.
client,<T> The entity type to be migrated by the script.
client,Script to set distributePointsFor to DISTRIBUTE_ALL_UNEVENLY if forceUnevenDistribution is true.
client,Script to set isZeroSum as false in all old feedback contribution questions before the addition of the isZeroSum field in feedback contribution questions.
client,Script to set feedback sessions whose timezone does not match their corresponding course's.
client,"Script to append Google IDs that do not contain ""@"" with ""@gmail.com""."
client,Script to set commentGiverType as INSTRUCTOR in all comments by instructor.
client,Script to change all null value to false in the isArchived field for Instructor entity.
client,Script to set commentGiverType as INSTRUCTOR in all comments by instructor.
client,Script to remove google ID of CourseStudent if it is fake google ID.
client,Script to desanitize content of Course if it is sanitized.
client,Script to desanitize content of Instructor if it is sanitized.
client,Script to desanitize content of CourseStudent if it is sanitized.
client,Script to desanitize name of Instructor if it is sanitized.
client,Script to set recipientType as STUDENTS_EXCLUDING_SELF in all feedback questions whose recipientType is STUDENTS and recipientType as TEAMS_EXCLUDING_SELF in all feedback questions whose recipientType is TEAMS.
client,Script to migrate giver name from student's name to team's name for question where the giver type is TEAMS.
client,"This only affects very old response entities, created before late 2015."
client,Script to migrate old format of TEXT question details (plain text) to JSON.
client,This only affects very old question entities created before there are multiple question types.
client,Script to set recommendedLength as null in all text questions whose recommendedLength is 0.
client,"Migrates instructor's registration key to its encrypted version, if not yet encrypted."
client,"Migrates student's registration key to its encrypted version, if not yet encrypted."
client,"Generates usage statistics objects, mostly for testing purpose."
client,Base script to migrate a googleId to a new googleId.
client,The change of googleId is not atomic due to the constrains imposed by the Datastore.
client,Instructions to use the script:
