Module,Text
client,Performs the remote operation to the back-end.
client,"Performs the entire operation routine: setting up connection to the back-end, performing the operation itself, and tearing down the connection."
client,Gets the Objectify instance.
client,Performs the remote operation to the back-end.
client,Gets the query for the entities that need data migration.
client,Returns the prefix for the log line.
client,Checks whether data migration is needed.
client,Causation: this method might be called in multiple threads if using transaction.
client,"If true, the script will not perform actual data migration."
client,Logs a line and persists it to the disk.
client,Logs an error and persists it to the disk.
client,Migrates the entity.
client,Causation: this method might be called in multiple threads if using transaction.
client,Stores the entity to save in a buffer and saves it later.
client,Sets the criterias used in isMigrationNeeded(E entity) on whether migration is needed. Ran during initialization.
client,Determines whether the migration should be done in a transaction.
client,"Transaction is useful for data consistency. However, there are some limitations on operations inside a transaction. In addition, the performance of the script will also be affected."
client,Performs the remote operation to the back-end.
client,Returns the filter query.
client,Returns the log prefix.
client,Returns whether the account has been migrated.
client,Logs a comment.
client,Logs an error and persists it to the disk.
client,Migrates the entity.
client,"Always returns true, as the migration is needed for all entities from Datastore to CloudSQL."
client,Set to true to preview the migration without actually performing it.
client,"Always returns true, as the migration is needed for all entities from Datastore to CloudSQL."
client,Set to true to preview the migration without actually performing it.
client,"Queries for the latest SQL entity created, so that patching will only migrate newly created Datastore entities."
client,Gets the query for the entities that need data migration.
client,"If true, the script will not perform actual data migration."
client,Performs the remote operation to the back-end.
client,Gets a random instant.
client,Gets the typical data bundle.
client,Loads the data bundle from JSON file.
client,Persists additional data.
client,Persists the data to database.
client,Sets up the dependencies needed for the DB layer.
client,Sets up objectify service.
client,Closes objectify service.
client,Performs the remote operation to the back-end.
client,Verify account fields.
client,Performs the remote operation to the back-end.
client,Verifies the number of notifications.
client,Verifies the SQL connection.
client,Calculate offset.
client,"Lookup sql side, have all the sql entities for each sql entity, lookup datastore entity. If does not match, return failure."
client,Run the operation.
client,Compares the sqlEntity with the datastoreEntity.
client,Generate the Datstore id of entity to compare with on Datastore side.
client,Log a line.
client,logLine the line to log
client,Lookup data store entities.
client,Sort SQL entities by id in ascending order and return entities on page.
client,pageNum page in a sorted entities tables
client,Main function to run to verify isEqual between sql and datastore DBs.
client,Performs the remote operation to the back-end.
client,Returns an Iterable which iterates all the matched entities of the query.
client,Decrypts and parses the statistics bundle that is saved in the disk.
client,Encrypts and persists the statistics bundle to the disk.
client,Adds a instructor email to the stats associated with the institute.
client,"If the institute or email is from test data, ignore."
client,"If the instructor email is already in the stats of the institute, ignore."
client,Adds a student email to the stats associated with the institute.
client,"If the institute or email is from test data, ignore."
client,"If the student email is already in the stats of the institute, ignore."
client,Gets a list of institute stats sorted by the number of students inside institute.
client,Gets number of unique instructor emails in the bundle.
client,Gets number of unique students emails in the bundle.
client,Performs the remote operation to the back-end.
client,Converts Account from its noSQL to SQL entity.
client,Converts Account Request from its noSQL to SQL entity.
client,Converts Course from its noSQL to SQL entity.
client,Converts Deadline Extension from its noSQL to SQL entity.
